Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
IOWA,2016,31,,-,0,,0,,,-,,-,,-,0,,1,,4,,6,,1,,1,,4,,37,,41,,"IOWA
(42.46942, -93.815856)",
INDIANA,2016,31,,-,0,,0,,,-,,-,,-,0,,3,,13,,22,,1,,6,,12,,197,,170,,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2016,31,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,2,,7,,51,,41,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2016,31,,-,0,,0,,,-,1,,,-,0,,1,,2,,6,,,-,8,,18,,236,,231,,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2016,31,,-,0,,1,,3,,,-,,-,0,,1,,2,,2,,,-,1,,7,,29,,16,,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2016,31,,-,0,,0,,,-,,-,,-,0,,1,,,-,9,,1,,5,,11,,169,,139,,"MINNESOTA
(46.357661, -94.793397)",
NEBRASKA,2016,31,,-,0,,3,,,-,1,,1,,0,,3,,15,,12,,,-,0,,5,,25,,27,,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2016,31,,-,0,,1,,1,,,-,,-,0,,1,,2,,1,,,-,6,,12,,147,,262,,"MICHIGAN
(44.66399, -84.711206)",
WISCONSIN,2016,31,,-,0,,0,,,-,,-,,-,0,,1,,5,,5,,,-,2,,6,,71,,48,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2016,31,,-,0,,1,,,-,4,,,-,0,,0,,,-,4,,,-,0,,2,,7,,2,,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2016,32,,-,2,,10,,74,,128,,66,,58,,322,,1975,,2447,,88,,483,,581,,13773,,14156,,,
NEW ENGLAND,2016,32,,-,0,,0,,,-,2,,,-,0,,1,,4,,10,,1,,13,,27,,377,,403,,,
MID. ATLANTIC,2016,32,,-,0,,1,,6,,3,,3,,2,,7,,53,,75,,18,,64,,101,,1879,,1658,,,
NEW YORK CITY,2016,32,,-,0,,0,,,-,,-,2,,0,,3,,13,,3,,2,,33,,45,,970,,840,,"NEW YORK CITY
",
E.N. CENTRAL,2016,32,,-,0,,1,,3,,2,,,-,1,,7,,63,,76,,,-,45,,58,,1136,,1482,,,
W.N. CENTRAL,2016,32,,-,0,,3,,8,,4,,8,,6,,31,,250,,334,,3,,17,,32,,562,,483,,,
S. ATLANTIC,2016,32,,-,1,,8,,39,,84,,7,,11,,73,,429,,526,,13,,120,,164,,3517,,3621,,,
DIST. OF COL.,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,1,,7,,61,,66,,"DIST. OF COL.
",
E.S. CENTRAL,2016,32,,-,0,,2,,6,,14,,22,,15,,55,,676,,750,,4,,20,,38,,616,,579,,,
W.S. CENTRAL,2016,32,,-,0,,7,,5,,4,,26,,10,,307,,484,,638,,27,,51,,75,,1600,,1614,,,
MOUNTAIN,2016,32,,-,0,,2,,6,,15,,,-,0,,3,,9,,25,,2,,27,,40,,839,,840,,,
PACIFIC,2016,32,,-,0,,1,,1,,,-,,-,0,,4,,7,,13,,20,,115,,144,,3247,,3476,,,
AMER. SAMOA,2016,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,32,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEVADA,2016,32,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,1,,7,,16,,208,,205,,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2016,32,,-,0,,1,,,-,2,,,-,1,,8,,37,,56,,,-,5,,12,,160,,122,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,,-,5,,,-,4,,9,,122,,146,,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2016,32,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,5,,6,,13,,156,,271,,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,6,,6,,,-,1,,4,,37,,42,,"IOWA
(42.46942, -93.815856)",
ALABAMA,2016,32,,-,0,,1,,1,,1,,4,,4,,24,,224,,203,,,-,6,,14,,168,,161,,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2016,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,4,,"ALASKA
(64.836661, -147.738891)",
PENNSYLVANIA,2016,32,,-,0,,1,,2,,,-,,-,0,,4,,11,,7,,6,,14,,20,,400,,393,,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2016,32,,-,0,,0,,,-,2,,,-,1,,5,,26,,30,,26,,35,,48,,1131,,1045,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2016,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,9,,26,,268,,287,,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2016,32,,-,0,,1,,3,,,-,,-,0,,2,,9,,13,,4,,43,,66,,1319,,1224,,"FLORIDA
(28.915325, -81.922409)",
CALIFORNIA,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,5,,8,,12,,100,,121,,2866,,2944,,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,11,,37,,25,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2016,32,,-,0,,1,,2,,1,,,-,1,,8,,63,,119,,,-,2,,5,,70,,50,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2016,32,,-,0,,1,,5,,2,,26,,10,,71,,455,,595,,,-,3,,10,,83,,56,,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,5,,5,,,-,2,,6,,75,,50,,"WISCONSIN
(44.395526, -89.834513)",
NORTH DAKOTA,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,,-,5,,,-,0,,3,,17,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2016,32,,-,0,,1,,2,,11,,15,,8,,29,,334,,407,,1,,6,,14,,190,,213,,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2016,32,,-,0,,1,,1,,,-,,-,0,,1,,2,,5,,3,,6,,15,,193,,212,,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,4,,5,,,-,1,,5,,29,,27,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2016,32,,-,0,,1,,,-,1,,1,,0,,2,,8,,30,,3,,6,,15,,195,,166,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,23,,21,,"MAINE
(45.252223, -68.986647)",
MONTANA,2016,32,,-,0,,1,,,-,5,,,-,0,,1,,1,,4,,,-,0,,2,,7,,3,,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,1,,3,,10,,97,,65,,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2016,32,,-,0,,1,,3,,,-,,-,0,,1,,2,,2,,,-,1,,7,,29,,16,,"IDAHO
(43.680635, -114.364237)",
DELAWARE,2016,32,,-,0,,0,,,-,,-,1,,0,,3,,9,,13,,,-,0,,7,,38,,33,,"DELAWARE
(39.008676, -75.574561)",
UTAH,2016,32,,-,0,,0,,,-,1,,,-,0,,1,,,-,5,,,-,1,,5,,40,,37,,"UTAH
(39.359772, -111.584173)",
MISSOURI,2016,32,,-,0,,2,,6,,1,,8,,4,,23,,166,,182,,2,,6,,16,,233,,183,,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,1,,2,,7,,52,,43,,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,9,,5,,"VERMONT
(43.622479, -72.51927)",
NEW YORK,2016,32,,-,0,,1,,3,,2,,1,,0,,3,,6,,13,,10,,11,,46,,290,,220,,"NEW YORK
(42.826892, -75.544286)",
OHIO,2016,32,,-,0,,1,,1,,1,,,-,0,,3,,15,,9,,,-,12,,20,,386,,351,,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2016,32,,-,0,,1,,,-,2,,4,,3,,18,,156,,200,,,-,6,,40,,282,,211,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2016,32,,-,0,,0,,,-,,-,,-,0,,4,,15,,24,,,-,6,,12,,200,,176,,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2016,32,,-,0,,1,,1,,2,,,-,6,,66,,218,,264,,,-,21,,42,,538,,663,,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2016,32,,-,0,,0,,,-,1,,,-,0,,1,,2,,6,,,-,8,,18,,236,,248,,"MASSACHUSETTS
(42.268546, -72.085064)",
ARIZONA,2016,32,,-,0,,1,,3,,8,,,-,0,,1,,5,,6,,,-,11,,18,,334,,366,,"ARIZONA
(34.869712, -111.760902)",
GEORGIA,2016,32,,-,1,,6,,33,,79,,,-,0,,0,,,-,,-,1,,24,,50,,785,,920,,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2016,32,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,7,,28,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,2,,2,,"WYOMING
(43.23558, -108.110518)",
LOUISIANA,2016,32,,-,0,,1,,,-,,-,,-,0,,2,,,-,7,,1,,13,,38,,280,,390,,"LOUISIANA
(31.2931, -92.463284)",
KENTUCKY,2016,32,,-,0,,1,,3,,,-,3,,2,,10,,81,,84,,3,,3,,12,,98,,83,,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2016,32,,-,0,,1,,2,,,-,1,,0,,3,,25,,1,,3,,9,,22,,270,,311,,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2016,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,32,,45,,"HAWAII
(21.30992, -157.858158)",
CONNECTICUT,2016,32,,-,0,,0,,,-,1,,,-,0,,1,,,-,3,,,-,1,,7,,20,,61,,"CONNECTICUT
(41.544654, -72.651713)",
NEBRASKA,2016,32,,-,0,,3,,,-,1,,,-,0,,3,,15,,13,,1,,0,,5,,26,,31,,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2016,32,,-,0,,1,,1,,,-,,-,0,,1,,2,,1,,,-,6,,12,,148,,270,,"MICHIGAN
(44.66399, -84.711206)",
GUAM,2016,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2016,32,,-,0,,1,,1,,1,,,-,0,,5,,23,,52,,,-,7,,17,,219,,205,,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2016,32,,-,0,,7,,,-,,-,,-,0,,275,,3,,6,,,-,4,,12,,106,,123,,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2016,32,,-,0,,1,,1,,1,,,-,0,,5,,26,,37,,,-,16,,32,,327,,635,,"ILLINOIS
(40.477092, -88.993221)",
MINNESOTA,2016,32,,-,0,,0,,,-,,-,,-,0,,1,,,-,9,,,-,5,,11,,172,,144,,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2016,33,2,,2,,10,,78,,131,,42,,57,,322,,2099,,2595,,103,,484,,581,,14319,,14601,,,
NEW ENGLAND,2016,33,,-,0,,0,,,-,2,,1,,0,,1,,5,,10,,,-,13,,22,,379,,410,,,
MID. ATLANTIC,2016,33,,-,0,,1,,6,,3,,,-,2,,7,,57,,77,,20,,64,,101,,1968,,1717,,,
NEW YORK CITY,2016,33,,-,0,,0,,,-,,-,,-,0,,3,,13,,3,,2,,33,,44,,1009,,866,,"NEW YORK CITY
",
E.N. CENTRAL,2016,33,,-,0,,1,,3,,2,,,-,1,,7,,66,,79,,1,,45,,58,,1201,,1536,,,
W.N. CENTRAL,2016,33,1,,0,,3,,13,,4,,5,,7,,31,,266,,359,,3,,17,,32,,580,,495,,,
S. ATLANTIC,2016,33,1,,1,,8,,39,,85,,7,,11,,73,,429,,544,,11,,121,,164,,3638,,3728,,,
DIST. OF COL.,2016,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,61,,66,,"DIST. OF COL.
",
E.S. CENTRAL,2016,33,,-,0,,2,,6,,16,,11,,15,,56,,746,,799,,12,,20,,38,,653,,600,,,
W.S. CENTRAL,2016,33,,-,0,,7,,5,,4,,17,,10,,307,,510,,688,,28,,50,,75,,1648,,1673,,,
MOUNTAIN,2016,33,,-,0,,1,,5,,15,,1,,0,,3,,11,,26,,,-,27,,40,,873,,861,,,
PACIFIC,2016,33,,-,0,,1,,1,,,-,,-,0,,4,,9,,13,,28,,115,,144,,3379,,3581,,,
AMER. SAMOA,2016,33,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,33,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ALABAMA,2016,33,,-,0,,1,,1,,1,,1,,4,,24,,252,,212,,4,,6,,14,,186,,166,,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2016,33,,-,0,,1,,3,,,-,,-,0,,2,,9,,13,,5,,43,,66,,1360,,1265,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2016,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,11,,38,,26,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2016,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,9,,5,,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2016,33,,-,0,,1,,2,,8,,,-,0,,1,,6,,6,,,-,11,,19,,347,,381,,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2016,33,,-,0,,1,,1,,,-,,-,0,,1,,2,,1,,,-,7,,12,,182,,278,,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2016,33,,-,0,,0,,,-,,-,,-,0,,2,,7,,8,,18,,101,,121,,2983,,3030,,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2016,33,,-,0,,1,,1,,1,,,-,0,,3,,27,,52,,,-,8,,17,,235,,209,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2016,33,,-,0,,1,,1,,2,,,-,6,,66,,218,,264,,,-,21,,42,,568,,686,,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSISSIPPI,2016,33,,-,0,,1,,,-,3,,,-,1,,8,,40,,59,,,-,5,,13,,171,,128,,"MISSISSIPPI
(32.738663, -89.537312)",
TEXAS,2016,33,,-,0,,0,,,-,2,,1,,1,,5,,27,,31,,28,,35,,51,,1169,,1080,,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2016,33,,-,0,,0,,,-,1,,,-,0,,1,,2,,,-,,-,0,,2,,7,,28,,"SOUTH DAKOTA
(44.35371, -100.373709)",
IDAHO,2016,33,,-,0,,1,,3,,,-,1,,0,,1,,3,,2,,,-,1,,7,,29,,16,,"IDAHO
(43.680635, -114.364237)",
MONTANA,2016,33,,-,0,,0,,,-,5,,,-,0,,1,,1,,4,,,-,0,,2,,8,,4,,"MONTANA
(47.062617, -109.430168)",
SOUTH CAROLINA,2016,33,,-,0,,1,,,-,1,,,-,0,,2,,9,,31,,4,,6,,15,,202,,170,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2016,33,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,,-,7,,16,,218,,206,,"NEVADA
(39.491833, -117.070159)",
INDIANA,2016,33,,-,0,,0,,,-,,-,,-,0,,4,,17,,24,,,-,6,,12,,207,,183,,"INDIANA
(39.76845, -86.156212)",
WYOMING,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,2,,2,,"WYOMING
(43.23558, -108.110518)",
COLORADO,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,,-,5,,,-,4,,9,,122,,149,,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2016,33,,-,0,,0,,,-,,-,,-,0,,3,,9,,14,,1,,0,,7,,40,,33,,"DELAWARE
(39.008676, -75.574561)",
OREGON,2016,33,,-,0,,1,,1,,,-,,-,0,,1,,2,,5,,4,,6,,15,,202,,219,,"OREGON
(44.567912, -120.156945)",
ALASKA,2016,33,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,4,,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2016,33,,-,0,,7,,,-,,-,,-,0,,275,,3,,22,,,-,3,,12,,113,,126,,"OKLAHOMA
(35.468494, -97.521264)",
IOWA,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,6,,7,,,-,1,,4,,37,,42,,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2016,33,,-,0,,0,,,-,1,,,-,0,,1,,,-,3,,,-,1,,5,,20,,61,,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,5,,5,,1,,1,,4,,31,,29,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARKANSAS,2016,33,,-,0,,1,,5,,2,,16,,10,,71,,480,,628,,,-,3,,10,,84,,60,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK,2016,33,,-,0,,1,,3,,2,,,-,0,,3,,6,,14,,11,,10,,46,,299,,238,,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2016,33,,-,0,,1,,,-,,-,,-,0,,2,,,-,7,,,-,12,,38,,282,,407,,"LOUISIANA
(31.2931, -92.463284)",
MISSOURI,2016,33,1,,0,,3,,10,,1,,5,,4,,23,,180,,198,,1,,6,,16,,236,,189,,"MISSOURI
(38.636168, -92.566292)",
TENNESSEE,2016,33,,-,0,,1,,2,,12,,10,,8,,29,,369,,436,,2,,6,,14,,192,,221,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2016,33,,-,0,,0,,,-,1,,,-,0,,1,,,-,6,,,-,1,,5,,46,,37,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2016,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,,-,3,,10,,101,,66,,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2016,33,,-,0,,1,,1,,1,,,-,0,,3,,15,,9,,1,,12,,20,,408,,362,,"OHIO
(40.056807, -82.405897)",
HAWAII,2016,33,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,32,,48,,"HAWAII
(21.30992, -157.858158)",
MASSACHUSETTS,2016,33,,-,0,,0,,,-,1,,,-,0,,1,,2,,6,,,-,8,,18,,236,,252,,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,2,,7,,52,,45,,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2016,33,,-,0,,1,,2,,,-,,-,0,,4,,11,,8,,7,,14,,21,,425,,404,,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2016,33,,-,0,,1,,1,,1,,,-,0,,5,,27,,40,,,-,16,,32,,328,,662,,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,5,,5,,,-,2,,6,,76,,51,,"WISCONSIN
(44.395526, -89.834513)",
NEBRASKA,2016,33,,-,0,,3,,1,,1,,,-,0,,3,,15,,14,,1,,0,,6,,31,,31,,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2016,33,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,6,,6,,13,,162,,280,,"WASHINGTON
(47.517368, -120.467672)",
KENTUCKY,2016,33,,-,0,,1,,3,,,-,,-,2,,10,,85,,92,,6,,3,,12,,104,,85,,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2016,33,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,,-,10,,1,,5,,11,,182,,147,,"MINNESOTA
(46.357661, -94.793397)",
MAINE,2016,33,,-,0,,0,,,-,,-,1,,0,,1,,2,,,-,,-,1,,4,,24,,21,,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2016,33,1,,0,,1,,1,,2,,4,,3,,18,,169,,216,,,-,6,,40,,282,,219,,"VIRGINIA
(37.542699, -78.45822)",
GEORGIA,2016,33,,-,1,,6,,33,,80,,,-,0,,0,,,-,,-,,-,25,,50,,810,,943,,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2016,33,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,9,,26,,268,,292,,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2016,33,,-,0,,0,,,-,,-,,-,0,,1,,,-,5,,,-,0,,3,,17,,7,,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2016,33,,-,0,,1,,2,,1,,,-,1,,7,,63,,125,,,-,2,,5,,70,,51,,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2016,33,,-,0,,1,,1,,,-,3,,0,,2,,10,,1,,,-,9,,22,,284,,317,,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2016,34,,-,2,,10,,81,,139,,30,,57,,322,,2206,,2733,,113,,487,,581,,14924,,15124,,,
NEW ENGLAND,2016,34,,-,0,,0,,,-,2,,,-,0,,1,,5,,11,,3,,13,,22,,408,,421,,,
MID. ATLANTIC,2016,34,,-,0,,1,,6,,4,,1,,2,,7,,59,,80,,19,,65,,101,,2066,,1773,,,
NEW YORK CITY,2016,34,,-,0,,0,,,-,,-,,-,0,,3,,13,,3,,,-,33,,45,,1051,,895,,"NEW YORK CITY
",
E.N. CENTRAL,2016,34,,-,0,,1,,3,,2,,,-,1,,7,,69,,81,,,-,45,,58,,1222,,1583,,,
W.N. CENTRAL,2016,34,,-,0,,3,,13,,5,,5,,7,,31,,292,,372,,3,,17,,32,,606,,514,,,
S. ATLANTIC,2016,34,,-,1,,8,,39,,89,,5,,11,,73,,438,,592,,21,,121,,164,,3799,,3864,,,
DIST. OF COL.,2016,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,7,,67,,71,,"DIST. OF COL.
",
E.S. CENTRAL,2016,34,,-,0,,1,,7,,16,,11,,15,,56,,778,,828,,4,,20,,38,,664,,624,,,
W.S. CENTRAL,2016,34,,-,0,,7,,5,,5,,7,,10,,307,,544,,727,,30,,50,,75,,1705,,1747,,,
MOUNTAIN,2016,34,,-,0,,1,,7,,16,,1,,0,,3,,13,,29,,4,,27,,40,,909,,894,,,
PACIFIC,2016,34,,-,0,,1,,1,,,-,,-,0,,4,,8,,13,,29,,116,,144,,3545,,3704,,,
AMER. SAMOA,2016,34,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,34,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WYOMING,2016,34,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,2,,3,,"WYOMING
(43.23558, -108.110518)",
OHIO,2016,34,,-,0,,1,,1,,1,,,-,0,,3,,15,,9,,,-,12,,21,,411,,374,,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2016,34,,-,0,,1,,,-,,-,,-,0,,2,,,-,7,,,-,12,,38,,298,,439,,"LOUISIANA
(31.2931, -92.463284)",
ALASKA,2016,34,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,5,,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2016,34,,-,0,,1,,1,,,-,,-,0,,1,,,-,5,,,-,0,,3,,19,,7,,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2016,34,,-,0,,1,,2,,1,,,-,1,,8,,70,,128,,,-,2,,5,,74,,53,,"KANSAS
(38.345528, -98.201847)",
IDAHO,2016,34,,-,0,,1,,3,,,-,,-,0,,1,,3,,3,,,-,1,,7,,29,,16,,"IDAHO
(43.680635, -114.364237)",
UTAH,2016,34,,-,0,,0,,,-,1,,,-,0,,0,,,-,6,,,-,2,,5,,51,,39,,"UTAH
(39.359772, -111.584173)",
FLORIDA,2016,34,,-,0,,1,,3,,,-,2,,0,,2,,11,,13,,1,,43,,66,,1417,,1305,,"FLORIDA
(28.915325, -81.922409)",
