Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
TENNESSEE,2014,3,4,,16,,36,,20,,29,,1,,2,,6,,3,,8,,14,,7,,50,,47,,1,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
CALIFORNIA,2014,3,14,,79,,158,,40,,216,,,-,8,,26,,3,,17,,6,,17,,47,,17,,54,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NEW MEXICO,2014,3,,-,6,,14,,,-,10,,,-,0,,3,,1,,,-,,-,1,,5,,,-,5,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
DIST. OF COL.,2014,3,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,3,,-,3,,10,,1,,4,,,-,0,,5,,,-,2,,,-,0,,29,,11,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NEBRASKA,2014,3,,-,5,,20,,7,,6,,,-,1,,7,,,-,3,,,-,1,,4,,1,,7,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
WISCONSIN,2014,3,,-,13,,29,,2,,34,,,-,1,,12,,,-,16,,,-,0,,3,,3,,4,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
PUERTO RICO,2014,3,,-,7,,43,,,-,15,,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
NEW YORK CITY,2014,3,2,,20,,52,,28,,35,,,-,1,,8,,2,,5,,,-,6,,14,,11,,16,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
AMER. SAMOA,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,3,4,,3,,27,,26,,1,,,-,0,,3,,1,,,-,,-,0,,7,,3,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MARYLAND,2014,3,4,,17,,37,,30,,50,,1,,1,,7,,4,,6,,,-,2,,6,,3,,2,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
OKLAHOMA,2014,3,,-,12,,49,,9,,7,,,-,1,,10,,,-,,-,,-,3,,13,,,-,12,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
PENNSYLVANIA,2014,3,8,,29,,65,,26,,50,,,-,5,,19,,6,,5,,3,,2,,9,,6,,8,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
HAWAII,2014,3,,-,6,,13,,12,,10,,,-,0,,5,,1,,1,,,-,0,,6,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
MONTANA,2014,3,,-,2,,9,,3,,2,,,-,1,,5,,,-,,-,,-,0,,10,,1,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
MINNESOTA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NEW HAMPSHIRE,2014,3,,-,3,,11,,,-,5,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
WEST VIRGINIA,2014,3,,-,3,,9,,1,,5,,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
WYOMING,2014,3,,-,1,,4,,,-,1,,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
COLORADO,2014,3,,-,6,,27,,9,,18,,,-,0,,11,,,-,3,,,-,1,,5,,3,,3,,"COLORADO
(38.84384047000049, -106.13360888799969)",
NEW JERSEY,2014,3,,-,18,,46,,1,,35,,,-,2,,8,,,-,8,,,-,2,,7,,,-,5,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
ILLINOIS,2014,3,,-,31,,61,,3,,63,,,-,4,,32,,,-,8,,,-,5,,15,,,-,6,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
OREGON,2014,3,1,,6,,25,,9,,5,,,-,3,,14,,1,,1,,1,,1,,4,,3,,2,,"OREGON
(44.567446178000466, -120.15502977999972)",
ALABAMA,2014,3,,-,17,,69,,14,,37,,,-,1,,3,,,-,3,,1,,5,,14,,10,,11,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
MASSACHUSETTS,2014,3,6,,21,,54,,23,,25,,,-,2,,8,,1,,5,,2,,2,,11,,8,,10,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MISSOURI,2014,3,4,,17,,38,,11,,45,,,-,4,,18,,4,,18,,3,,2,,9,,15,,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEVADA,2014,3,,-,4,,205,,,-,13,,,-,1,,3,,,-,3,,,-,0,,7,,,-,6,,"NEVADA
(39.49324126500045, -117.07183978499972)",
GEORGIA,2014,3,10,,34,,101,,46,,61,,1,,2,,10,,3,,8,,9,,16,,36,,47,,25,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
WASHINGTON,2014,3,,-,10,,32,,,-,1,,,-,3,,32,,,-,1,,,-,1,,10,,,-,2,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
OHIO,2014,3,11,,22,,42,,38,,39,,,-,4,,15,,2,,5,,12,,10,,67,,42,,87,,"OHIO
(40.06021029700048, -82.40425685299965)",
TEXAS,2014,3,2,,71,,163,,5,,37,,2,,9,,28,,9,,6,,4,,28,,122,,12,,15,,"TEXAS
(31.827243635000457, -99.4267664729997)",
NORTH CAROLINA,2014,3,37,,32,,136,,110,,63,,3,,1,,8,,4,,3,,9,,2,,119,,130,,6,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
CONNECTICUT,2014,3,,-,7,,21,,8,,20,,,-,1,,7,,,-,2,,,-,1,,5,,,-,1,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
ALASKA,2014,3,,-,1,,5,,2,,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
AMER. SAMOA,2014,34,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
IDAHO,2014,3,1,,2,,9,,6,,5,,,-,2,,6,,1,,1,,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
UTAH,2014,3,,-,6,,14,,12,,8,,,-,1,,9,,,-,1,,,-,0,,2,,1,,1,,"UTAH
(39.36070374600047, -111.5871285339997)",
RHODE ISLAND,2014,3,,-,2,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,86,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
KENTUCKY,2014,3,3,,9,,21,,15,,25,,,-,2,,9,,3,,1,,,-,1,,6,,3,,6,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
SOUTH CAROLINA,2014,3,1,,20,,52,,30,,34,,,-,0,,2,,1,,,-,1,,3,,6,,2,,2,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
UNITED STATES,2014,4,225,,878,,1509,,1281,,1840,,18,,111,,241,,98,,225,,115,,216,,368,,713,,519,,,
NEW ENGLAND,2014,4,5,,39,,81,,47,,73,,,-,4,,12,,4,,10,,,-,3,,94,,10,,17,,,
MID. ATLANTIC,2014,4,15,,96,,196,,116,,189,,2,,13,,37,,14,,25,,5,,15,,28,,42,,62,,,
RHODE ISLAND,2014,4,,-,2,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,86,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
PACIFIC,2014,7,37,,114,,217,,335,,580,,,-,18,,51,,29,,50,,13,,21,,47,,96,,130,,,
E.N. CENTRAL,2014,4,22,,98,,171,,99,,258,,1,,15,,46,,6,,59,,9,,23,,74,,58,,137,,,
W.N. CENTRAL,2014,4,18,,46,,93,,63,,109,,1,,10,,38,,6,,32,,10,,7,,74,,78,,22,,,
S. ATLANTIC,2014,4,111,,230,,434,,636,,538,,8,,9,,18,,29,,27,,33,,49,,159,,300,,76,,,
E.S. CENTRAL,2014,4,5,,57,,138,,74,,142,,,-,5,,18,,8,,15,,21,,19,,66,,103,,33,,,
W.S. CENTRAL,2014,4,21,,118,,248,,59,,129,,5,,13,,34,,17,,11,,28,,48,,190,,63,,56,,,
MOUNTAIN,2014,4,4,,51,,248,,66,,118,,,-,9,,33,,4,,21,,1,,9,,38,,25,,34,,,
PACIFIC,2014,4,24,,103,,206,,121,,284,,1,,17,,50,,10,,25,,8,,21,,47,,34,,82,,,
OHIO,2014,4,21,,22,,42,,59,,45,,1,,4,,15,,3,,9,,9,,10,,67,,51,,96,,"OHIO
(40.06021029700048, -82.40425685299965)",
OREGON,2014,4,,-,6,,25,,14,,11,,1,,3,,14,,4,,3,,,-,1,,4,,4,,3,,"OREGON
(44.567446178000466, -120.15502977999972)",
NORTH DAKOTA,2014,4,,-,2,,7,,2,,4,,,-,0,,3,,1,,,-,,-,0,,2,,1,,2,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
INDIANA,2014,4,,-,13,,27,,1,,29,,,-,2,,7,,,-,9,,,-,2,,7,,,-,7,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MONTANA,2014,4,,-,2,,9,,5,,2,,,-,1,,5,,,-,,-,,-,0,,10,,1,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
PENNSYLVANIA,2014,4,4,,29,,65,,35,,63,,1,,5,,19,,7,,7,,,-,2,,9,,7,,10,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
HAWAII,2014,4,,-,7,,13,,22,,12,,,-,0,,5,,1,,1,,,-,0,,6,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NORTH CAROLINA,2014,4,9,,32,,136,,132,,84,,,-,1,,8,,5,,5,,,-,2,,119,,136,,9,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
NEBRASKA,2014,4,1,,5,,20,,8,,8,,1,,1,,7,,1,,3,,,-,1,,4,,1,,9,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NEW YORK,2014,4,10,,24,,50,,33,,35,,1,,4,,10,,4,,4,,5,,4,,14,,16,,23,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
GEORGIA,2014,4,8,,34,,101,,66,,83,,,-,2,,10,,3,,8,,6,,16,,36,,62,,32,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
GUAM,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VIRGIN ISL.,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MARYLAND,2014,4,11,,16,,37,,45,,61,,2,,1,,8,,6,,8,,3,,2,,6,,7,,4,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
VERMONT,2014,4,5,,1,,5,,11,,2,,,-,0,,3,,1,,,-,,-,0,,1,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
DELAWARE,2014,4,,-,1,,7,,1,,5,,,-,0,,2,,,-,,-,,-,0,,2,,1,,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
MAINE,2014,4,,-,2,,11,,1,,4,,,-,0,,4,,,-,,-,,-,0,,1,,1,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
CONNECTICUT,2014,4,,-,7,,21,,12,,24,,,-,1,,7,,2,,3,,,-,1,,5,,1,,3,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MINNESOTA,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
TENNESSEE,2014,4,4,,16,,36,,27,,35,,,-,2,,6,,4,,8,,18,,8,,50,,72,,1,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
WASHINGTON,2014,4,4,,10,,44,,4,,5,,,-,3,,32,,,-,1,,,-,1,,10,,,-,5,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
WISCONSIN,2014,4,,-,13,,29,,4,,46,,,-,2,,12,,,-,19,,,-,0,,3,,3,,6,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MICHIGAN,2014,4,1,,17,,42,,19,,44,,,-,2,,14,,1,,11,,,-,3,,8,,4,,21,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
COLORADO,2014,4,,-,6,,27,,23,,27,,,-,0,,11,,,-,5,,,-,1,,5,,4,,3,,"COLORADO
(38.84384047000049, -106.13360888799969)",
ALASKA,2014,4,,-,1,,5,,3,,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
DIST. OF COL.,2014,4,,-,0,,4,,,-,5,,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,4,,-,4,,205,,3,,15,,,-,1,,3,,,-,3,,,-,0,,7,,3,,6,,"NEVADA
(39.49324126500045, -117.07183978499972)",
NEW HAMPSHIRE,2014,4,,-,3,,11,,,-,8,,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
CALIFORNIA,2014,4,20,,79,,159,,78,,256,,,-,8,,26,,5,,20,,8,,17,,47,,29,,73,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WYOMING,2014,4,,-,1,,4,,,-,1,,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
C.N.M.I.,2014,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IOWA,2014,4,,-,10,,36,,15,,28,,,-,2,,14,,,-,2,,3,,2,,43,,21,,6,,"IOWA
(42.469404401000475, -93.81648936699969)",
ILLINOIS,2014,4,,-,32,,62,,16,,94,,,-,4,,32,,2,,11,,,-,5,,15,,,-,7,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
KANSAS,2014,4,,-,7,,18,,8,,11,,,-,1,,6,,,-,5,,,-,1,,4,,3,,3,,"KANSAS
(38.34774033400049, -98.20077655499966)",
IDAHO,2014,4,1,,2,,9,,7,,6,,,-,2,,6,,2,,1,,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
ARIZONA,2014,4,3,,18,,32,,15,,43,,,-,1,,11,,,-,10,,,-,5,,27,,10,,18,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
LOUISIANA,2014,4,,-,19,,43,,5,,39,,,-,0,,2,,,-,1,,,-,5,,21,,1,,8,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
ARKANSAS,2014,4,6,,13,,35,,11,,13,,1,,1,,6,,2,,,-,3,,5,,22,,11,,3,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
UTAH,2014,4,,-,6,,14,,13,,10,,,-,1,,9,,,-,2,,1,,0,,2,,4,,2,,"UTAH
(39.36070374600047, -111.5871285339997)",
MISSOURI,2014,4,17,,17,,38,,28,,50,,,-,4,,18,,4,,20,,1,,2,,9,,16,,2,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
OKLAHOMA,2014,4,7,,12,,49,,21,,15,,,-,1,,10,,,-,,-,3,,3,,13,,4,,18,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
KENTUCKY,2014,4,,-,9,,21,,15,,28,,,-,2,,9,,3,,3,,,-,1,,6,,3,,9,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
TEXAS,2014,4,8,,72,,192,,22,,62,,4,,9,,29,,15,,10,,22,,28,,163,,47,,27,,"TEXAS
(31.827243635000457, -99.4267664729997)",
SOUTH CAROLINA,2014,4,5,,20,,52,,46,,41,,,-,0,,2,,1,,,-,2,,3,,6,,5,,2,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
MISSISSIPPI,2014,4,,-,13,,41,,11,,33,,,-,0,,4,,,-,1,,,-,4,,13,,8,,11,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW JERSEY,2014,4,,-,18,,46,,4,,42,,,-,2,,8,,,-,8,,,-,2,,7,,1,,5,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
ALABAMA,2014,4,1,,17,,69,,21,,46,,,-,1,,3,,1,,3,,3,,5,,14,,20,,12,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
AMER. SAMOA,2014,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,4,,-,3,,9,,1,,9,,,-,0,,3,,,-,2,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MASSACHUSETTS,2014,4,,-,21,,54,,23,,35,,,-,2,,8,,1,,6,,,-,2,,11,,8,,12,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
VIRGINIA,2014,4,5,,4,,27,,36,,1,,,-,0,,3,,1,,,-,2,,0,,7,,8,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
NEW YORK CITY,2014,4,1,,20,,52,,44,,49,,,-,2,,8,,3,,6,,,-,6,,14,,18,,24,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PUERTO RICO,2014,4,,-,7,,43,,,-,28,,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEW MEXICO,2014,4,,-,6,,14,,,-,14,,,-,0,,3,,2,,,-,,-,1,,5,,,-,5,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
FLORIDA,2014,4,73,,105,,226,,309,,249,,6,,3,,7,,13,,4,,20,,18,,46,,81,,26,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
SOUTH DAKOTA,2014,4,,-,3,,10,,2,,8,,,-,0,,5,,,-,2,,6,,0,,29,,36,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
UNITED STATES,2014,5,305,,888,,1520,,1804,,2412,,32,,113,,264,,162,,287,,118,,218,,371,,934,,685,,,
NEW ENGLAND,2014,5,7,,39,,81,,83,,92,,,-,4,,12,,8,,12,,1,,3,,94,,20,,20,,,
MID. ATLANTIC,2014,5,39,,96,,196,,176,,247,,4,,13,,38,,19,,27,,2,,15,,28,,46,,85,,,
E.N. CENTRAL,2014,5,18,,98,,171,,134,,339,,2,,15,,47,,12,,74,,7,,23,,74,,67,,211,,,
W.N. CENTRAL,2014,5,3,,46,,93,,77,,138,,,-,10,,38,,10,,39,,5,,7,,74,,112,,25,,,
S. ATLANTIC,2014,5,130,,232,,436,,793,,679,,4,,10,,18,,36,,33,,43,,49,,159,,353,,95,,,
NEVADA,2014,5,,-,4,,205,,3,,20,,,-,1,,3,,1,,3,,,-,0,,7,,5,,6,,"NEVADA
(39.49324126500045, -117.07183978499972)",
E.S. CENTRAL,2014,5,13,,57,,138,,109,,171,,5,,5,,18,,15,,19,,14,,20,,66,,135,,46,,,
W.S. CENTRAL,2014,5,38,,118,,248,,128,,190,,9,,13,,34,,34,,18,,20,,48,,201,,90,,75,,,
MOUNTAIN,2014,5,5,,51,,248,,86,,151,,3,,10,,59,,10,,30,,2,,10,,38,,44,,37,,,
PACIFIC,2014,5,52,,111,,217,,218,,405,,5,,18,,51,,18,,35,,24,,20,,47,,67,,91,,,
GUAM,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VIRGIN ISL.,2014,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,7,1,,7,,43,,9,,47,,,-,0,,6,,2,,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
PUERTO RICO,2014,8,,-,7,,43,,9,,51,,,-,0,,6,,2,,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
C.N.M.I.,2014,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,9,,-,7,,43,,9,,57,,,-,0,,6,,2,,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,10,,-,7,,43,,15,,70,,,-,0,,6,,2,,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,11,1,,6,,43,,19,,80,,,-,0,,6,,2,,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VIRGIN ISL.,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MICHIGAN,2014,5,3,,17,,42,,25,,57,,,-,2,,14,,1,,15,,,-,3,,8,,6,,23,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
DELAWARE,2014,5,,-,1,,7,,4,,8,,,-,0,,2,,,-,,-,,-,0,,2,,3,,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
ARIZONA,2014,5,2,,18,,32,,23,,54,,,-,2,,45,,,-,12,,2,,6,,27,,24,,20,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
WASHINGTON,2014,5,2,,10,,48,,6,,13,,2,,3,,32,,2,,4,,,-,1,,10,,,-,5,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
SOUTH DAKOTA,2014,5,,-,3,,10,,4,,9,,,-,0,,5,,,-,2,,3,,0,,29,,62,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
ALASKA,2014,5,4,,1,,5,,6,,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
LOUISIANA,2014,5,1,,19,,43,,27,,47,,,-,0,,2,,,-,2,,,-,5,,21,,7,,11,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OKLAHOMA,2014,5,11,,12,,49,,32,,23,,,-,1,,10,,1,,,-,,-,3,,13,,4,,18,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
GEORGIA,2014,5,2,,34,,101,,77,,107,,,-,2,,10,,4,,9,,1,,16,,36,,68,,39,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
UTAH,2014,5,,-,6,,14,,14,,13,,,-,1,,9,,2,,3,,,-,0,,2,,5,,2,,"UTAH
(39.36070374600047, -111.5871285339997)",
MARYLAND,2014,5,8,,16,,37,,54,,67,,1,,1,,8,,8,,9,,5,,2,,6,,14,,7,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
WYOMING,2014,5,,-,1,,4,,,-,2,,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
MISSISSIPPI,2014,5,,-,13,,41,,25,,38,,,-,0,,4,,,-,1,,,-,4,,13,,15,,15,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
ARKANSAS,2014,5,4,,13,,35,,15,,18,,1,,1,,6,,4,,1,,7,,5,,22,,18,,4,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
WISCONSIN,2014,5,,-,13,,29,,5,,57,,,-,2,,12,,,-,20,,,-,0,,3,,3,,7,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
HAWAII,2014,5,5,,7,,13,,29,,15,,,-,0,,5,,2,,1,,,-,0,,6,,1,,4,,"HAWAII
(21.30485166200043, -157.85774691599974)",
