Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease, All ages, Current week, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, All ages, Cum 2014","Invasive Pneumococcal disease, All ages, Cum 2014, flag","Invasive Pneumococcal disease, All ages, Cum 2013","Invasive Pneumococcal disease, All ages, Cum 2013, flag","Invasive Pneumococcal disease, Age LT 5, Current week","Invasive Pneumococcal disease, Age LT 5, Current week, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2014","Invasive Pneumococcal disease, Age LT 5, Cum 2014, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2013","Invasive Pneumococcal disease, Age LT 5, Cum 2013, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag","Legionellosis, Cum 2013","Legionellosis, Cum 2013, flag",Location 1,Location 2
PENNSYLVANIA,2014,41,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,5,,5,,14,,227,,373,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
WEST VIRGINIA,2014,41,,-,4,,16,,175,,255,,,-,0,,1,,10,,14,,,-,0,,4,,25,,23,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
TENNESSEE,2014,41,1,,15,,28,,563,,597,,,-,1,,4,,35,,33,,1,,2,,12,,113,,67,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
CONNECTICUT,2014,41,,-,4,,10,,166,,264,,,-,0,,1,,7,,13,,,-,1,,3,,36,,54,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
RHODE ISLAND,2014,41,,-,1,,10,,51,,53,,,-,0,,1,,1,,,-,,-,0,,10,,17,,30,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
ARIZONA,2014,41,4,,13,,40,,588,,637,,,-,1,,6,,29,,33,,,-,1,,4,,47,,58,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
MAINE,2014,41,,-,2,,8,,101,,92,,,-,0,,1,,5,,4,,,-,0,,4,,15,,16,,"MAINE
(45.2542257390005, -68.98502952999962)",
ILLINOIS,2014,41,,N,0,,0,,,N,,N,,-,0,,3,,27,,34,,,-,4,,15,,183,,254,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
GEORGIA,2014,41,2,,17,,61,,667,,825,,,-,1,,5,,46,,68,,,-,1,,9,,58,,56,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
FLORIDA,2014,41,6,,16,,45,,684,,883,,2,,1,,5,,67,,73,,7,,6,,15,,228,,181,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
KENTUCKY,2014,41,,-,3,,10,,138,,210,,,-,0,,2,,8,,10,,2,,1,,8,,68,,39,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MARYLAND,2014,41,4,,7,,20,,326,,384,,1,,0,,4,,22,,20,,5,,2,,10,,116,,139,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
ALABAMA,2014,41,1,,3,,10,,156,,143,,,-,0,,2,,11,,16,,,-,1,,10,,47,,30,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
PUERTO RICO,2014,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,2,,13,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
NORTH CAROLINA,2014,41,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,2,,11,,135,,69,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
MISSOURI,2014,41,,N,0,,0,,,N,,N,,-,0,,3,,17,,28,,,-,1,,11,,66,,61,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
VERMONT,2014,41,1,,1,,4,,39,,45,,1,,0,,0,,1,,,-,,-,0,,2,,6,,14,,"VERMONT
(43.62538000100045, -72.51763944499965)",
HAWAII,2014,41,,-,2,,6,,70,,57,,,-,0,,2,,8,,3,,,-,0,,1,,5,,5,,"HAWAII
(21.304853205000427, -157.85774691599974)",
NEVADA,2014,41,1,,3,,7,,105,,105,,,-,0,,2,,6,,4,,,-,0,,3,,18,,17,,"NEVADA
(39.493242807000456, -117.07183978499972)",
WASHINGTON,2014,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,6,,25,,22,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
VIRGINIA,2014,41,,-,0,,3,,14,,,-,,-,0,,3,,14,,30,,2,,1,,8,,80,,105,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
INDIANA,2014,41,,-,10,,33,,385,,542,,,-,0,,4,,21,,24,,,-,2,,13,,104,,73,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MINNESOTA,2014,41,,-,5,,18,,159,,429,,,-,0,,3,,8,,31,,,-,1,,7,,46,,43,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
IDAHO,2014,41,,N,0,,0,,,N,,N,,-,0,,1,,3,,4,,,-,0,,2,,6,,9,,"IDAHO
(43.68263160000049, -114.3637261449997)",
NEW JERSEY,2014,41,,-,1,,19,,38,,473,,,-,0,,2,,2,,31,,,-,2,,6,,71,,220,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
MICHIGAN,2014,41,1,,12,,19,,408,,597,,,-,0,,4,,19,,32,,,-,3,,12,,117,,238,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
IOWA,2014,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,26,,9,,"IOWA
(42.469401477000474, -93.81648936699969)",
ARKANSAS,2014,41,,-,4,,30,,165,,174,,,-,0,,2,,12,,8,,,-,0,,5,,29,,21,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
UTAH,2014,41,,-,0,,11,,28,,152,,,-,0,,2,,3,,19,,,-,0,,3,,16,,16,,"UTAH
(39.36070082200047, -111.5871285339997)",
SOUTH DAKOTA,2014,41,,-,2,,5,,69,,80,,,N,0,,0,,,N,,N,,-,0,,2,,6,,6,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
NORTH DAKOTA,2014,41,,-,1,,4,,44,,86,,,-,0,,1,,2,,9,,,-,0,,1,,4,,2,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
MISSISSIPPI,2014,41,,-,3,,13,,176,,184,,,-,0,,2,,17,,15,,,-,0,,2,,25,,15,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
WYOMING,2014,41,,-,0,,3,,15,,16,,,-,0,,1,,2,,,-,,-,0,,1,,1,,,-,"WYOMING
(43.235543013000495, -108.10982744299969)",
MASSACHUSETTS,2014,41,,-,0,,2,,19,,18,,,-,0,,2,,17,,16,,,-,2,,8,,99,,162,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
SOUTH CAROLINA,2014,41,1,,7,,27,,318,,347,,,-,0,,2,,21,,19,,,-,0,,3,,32,,19,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
ALASKA,2014,41,4,,1,,5,,63,,80,,1,,0,,2,,7,,12,,,-,0,,1,,2,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
GUAM,2014,41,,-,0,,1,,,-,17,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480998894000436, 144.73149801400064)",
KANSAS,2014,41,3,,2,,9,,101,,117,,,N,0,,0,,,N,,N,,-,0,,1,,11,,14,,"KANSAS
(38.3477418760005, -98.20077655499966)",
CALIFORNIA,2014,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,5,,11,,213,,168,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
WISCONSIN,2014,41,2,,7,,16,,289,,335,,,-,0,,3,,10,,18,,,-,1,,7,,33,,121,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
NEW MEXICO,2014,41,2,,5,,16,,244,,259,,,-,0,,3,,12,,11,,,-,0,,1,,3,,9,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
OHIO,2014,41,11,,19,,38,,701,,926,,1,,1,,4,,31,,30,,18,,6,,22,,313,,442,,"OHIO
(40.06021184000048, -82.40425685299965)",
UNITED STATES,2014,42,70,,280,,752,,10112,,13090,,8,,20,,56,,732,,904,,41,,76,,175,,3558,,4212,,,
NEW ENGLAND,2014,42,3,,12,,24,,448,,549,,,-,1,,2,,35,,36,,,-,4,,14,,187,,307,,,
MID. ATLANTIC,2014,42,13,,30,,115,,1124,,1806,,,-,2,,10,,56,,96,,18,,17,,48,,803,,1269,,,
E.N. CENTRAL,2014,42,14,,52,,84,,1811,,2445,,1,,3,,9,,111,,145,,9,,17,,43,,765,,1155,,,
W.N. CENTRAL,2014,42,5,,15,,37,,487,,840,,1,,1,,4,,39,,78,,2,,3,,20,,181,,153,,,
S. ATLANTIC,2014,42,9,,57,,135,,2288,,2841,,3,,4,,10,,188,,229,,8,,15,,33,,706,,631,,,
DIST. OF COL.,2014,42,,-,1,,6,,52,,71,,,-,0,,1,,2,,1,,,-,0,,1,,,-,11,,"DIST. OF COL.
",
E.S. CENTRAL,2014,42,4,,26,,51,,1041,,1154,,1,,1,,6,,72,,76,,2,,5,,19,,264,,160,,,
W.S. CENTRAL,2014,42,17,,35,,305,,1476,,1682,,2,,4,,20,,148,,132,,1,,6,,29,,267,,167,,,
MOUNTAIN,2014,42,2,,30,,81,,1301,,1631,,,-,2,,7,,68,,96,,1,,3,,11,,116,,158,,,
PACIFIC,2014,42,3,,3,,8,,136,,142,,,-,0,,3,,15,,16,,,-,6,,15,,269,,212,,,
AMER. SAMOA,2014,42,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2014,42,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
SOUTH CAROLINA,2014,42,2,,7,,27,,328,,355,,1,,0,,2,,22,,19,,,-,0,,3,,32,,19,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
ARKANSAS,2014,42,,-,4,,30,,172,,178,,,-,0,,2,,13,,8,,,-,0,,5,,29,,22,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
WEST VIRGINIA,2014,42,,-,4,,16,,177,,266,,,-,0,,1,,10,,15,,,-,0,,4,,25,,24,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
KANSAS,2014,42,1,,2,,9,,102,,120,,,N,0,,0,,,N,,N,,-,0,,1,,11,,14,,"KANSAS
(38.3477418760005, -98.20077655499966)",
MINNESOTA,2014,42,,-,5,,18,,159,,433,,,-,0,,3,,8,,32,,,-,1,,7,,46,,44,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
IDAHO,2014,42,,N,0,,0,,,N,,N,,-,0,,1,,3,,4,,1,,0,,2,,7,,9,,"IDAHO
(43.68263160000049, -114.3637261449997)",
RHODE ISLAND,2014,42,,-,1,,10,,51,,53,,,-,0,,1,,1,,,-,,-,0,,10,,17,,30,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
FLORIDA,2014,42,6,,16,,45,,691,,896,,2,,1,,5,,70,,73,,6,,6,,15,,234,,188,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
WASHINGTON,2014,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,6,,25,,23,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
DELAWARE,2014,42,,-,0,,5,,28,,25,,,-,0,,1,,1,,,-,,-,0,,2,,15,,14,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEBRASKA,2014,42,4,,3,,8,,112,,118,,,-,0,,2,,10,,9,,,-,0,,2,,17,,15,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
PUERTO RICO,2014,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,2,,13,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
MICHIGAN,2014,42,,-,12,,19,,412,,610,,,-,0,,4,,20,,33,,2,,3,,12,,122,,240,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
NEW YORK,2014,42,7,,15,,76,,608,,782,,,-,1,,6,,32,,38,,8,,6,,22,,339,,387,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
MARYLAND,2014,42,1,,7,,21,,330,,388,,,-,0,,4,,22,,21,,1,,2,,10,,120,,144,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
CALIFORNIA,2014,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,5,,11,,215,,168,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
NEW HAMPSHIRE,2014,42,,-,1,,6,,64,,73,,,-,0,,1,,4,,3,,,-,0,,2,,9,,24,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
NEW MEXICO,2014,42,,-,5,,16,,244,,262,,,-,0,,3,,12,,11,,,-,0,,1,,3,,9,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
ILLINOIS,2014,42,,N,0,,0,,,N,,N,,-,1,,3,,28,,35,,,-,4,,15,,185,,263,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
WISCONSIN,2014,42,8,,7,,16,,301,,338,,1,,0,,3,,11,,18,,,-,1,,7,,33,,127,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
NORTH CAROLINA,2014,42,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,2,,11,,135,,69,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
ARIZONA,2014,42,1,,13,,40,,591,,646,,,-,1,,6,,29,,33,,,-,1,,4,,48,,60,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
HAWAII,2014,42,,-,2,,6,,70,,58,,,-,0,,2,,8,,3,,,-,0,,1,,5,,5,,"HAWAII
(21.304853205000427, -157.85774691599974)",
IOWA,2014,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,26,,9,,"IOWA
(42.469401477000474, -93.81648936699969)",
VERMONT,2014,42,1,,1,,4,,40,,45,,,-,0,,1,,1,,,-,,-,0,,2,,6,,14,,"VERMONT
(43.62538000100045, -72.51763944499965)",
NEW JERSEY,2014,42,,-,1,,19,,38,,482,,,-,0,,2,,2,,32,,,-,2,,6,,76,,221,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
GEORGIA,2014,42,,-,17,,61,,667,,840,,,-,1,,5,,46,,70,,,-,1,,9,,58,,57,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
VIRGINIA,2014,42,,-,0,,3,,15,,,-,,-,0,,3,,15,,30,,1,,1,,7,,87,,105,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
LOUISIANA,2014,42,3,,6,,23,,289,,280,,1,,0,,3,,22,,19,,,-,1,,4,,44,,26,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
MAINE,2014,42,2,,2,,8,,106,,93,,,-,0,,1,,5,,4,,,-,0,,4,,16,,16,,"MAINE
(45.2542257390005, -68.98502952999962)",
MISSOURI,2014,42,,N,0,,0,,,N,,N,1,,0,,3,,19,,28,,2,,1,,11,,71,,62,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NORTH DAKOTA,2014,42,,-,1,,4,,45,,89,,,-,0,,1,,2,,9,,,-,0,,1,,4,,3,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
NEW YORK CITY,2014,42,6,,12,,25,,478,,542,,,-,1,,4,,22,,26,,2,,3,,15,,152,,283,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
TENNESSEE,2014,42,3,,15,,28,,569,,610,,,-,1,,4,,35,,34,,2,,2,,12,,116,,68,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
MISSISSIPPI,2014,42,1,,3,,13,,178,,188,,1,,0,,2,,18,,16,,,-,0,,2,,25,,17,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
OKLAHOMA,2014,42,,-,0,,0,,,-,,-,1,,0,,2,,23,,15,,,-,0,,10,,20,,8,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
CONNECTICUT,2014,42,,-,4,,10,,166,,267,,,-,0,,1,,7,,13,,,-,1,,3,,36,,56,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
NEVADA,2014,42,,-,3,,7,,105,,108,,,-,0,,2,,6,,4,,,-,0,,3,,18,,17,,"NEVADA
(39.493242807000456, -117.07183978499972)",
KENTUCKY,2014,42,,-,3,,10,,138,,212,,,-,0,,2,,8,,10,,,-,1,,8,,71,,40,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
PENNSYLVANIA,2014,42,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,8,,5,,14,,236,,378,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
INDIANA,2014,42,,-,10,,33,,391,,555,,,-,0,,4,,21,,27,,5,,2,,13,,110,,73,,"INDIANA
(39.76691072200049, -86.14995579899966)",
ALABAMA,2014,42,,-,3,,10,,156,,144,,,-,0,,2,,11,,16,,,-,1,,5,,52,,35,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
TEXAS,2014,42,14,,25,,263,,1015,,1224,,,-,2,,18,,90,,90,,1,,4,,24,,174,,111,,"TEXAS
(31.827240712000446, -99.4267664729997)",
SOUTH DAKOTA,2014,42,,-,2,,5,,69,,80,,,N,0,,0,,,N,,N,,-,0,,2,,6,,6,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
COLORADO,2014,42,,-,7,,24,,288,,422,,,-,0,,2,,13,,23,,,-,0,,7,,20,,37,,"COLORADO
(38.84384201300048, -106.13360888799969)",
OREGON,2014,42,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,22,,15,,"OREGON
(44.56745218600048, -120.15502977999972)",
OHIO,2014,42,6,,19,,38,,707,,942,,,-,1,,4,,31,,32,,2,,6,,22,,315,,452,,"OHIO
(40.06021184000048, -82.40425685299965)",
MONTANA,2014,42,1,,1,,4,,30,,22,,,-,0,,0,,,-,1,,,-,0,,1,,3,,8,,"MONTANA
(47.06652759400049, -109.42441687999968)",
MASSACHUSETTS,2014,42,,-,0,,2,,21,,18,,,-,0,,2,,17,,16,,,-,2,,8,,103,,167,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
WYOMING,2014,42,,-,0,,3,,15,,17,,,-,0,,1,,2,,1,,,-,0,,1,,1,,,-,"WYOMING
(43.235543013000495, -108.10982744299969)",
ALASKA,2014,42,3,,1,,5,,66,,84,,,-,0,,2,,7,,13,,,-,0,,1,,2,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
UTAH,2014,42,,-,0,,11,,28,,154,,,-,0,,2,,3,,19,,,-,0,,3,,16,,18,,"UTAH
(39.36070082200047, -111.5871285339997)",
GUAM,2014,42,,-,0,,1,,,-,18,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480998894000436, 144.73149801400064)",
UNITED STATES,2014,43,109,,280,,752,,10278,,13309,,14,,19,,56,,749,,925,,61,,76,,176,,3669,,4304,,,
NEW ENGLAND,2014,43,1,,12,,24,,448,,559,,,-,1,,3,,35,,38,,,-,4,,14,,192,,309,,,
MID. ATLANTIC,2014,43,26,,29,,115,,1150,,1832,,2,,1,,10,,58,,98,,21,,17,,48,,832,,1288,,,
E.N. CENTRAL,2014,43,25,,52,,84,,1849,,2487,,4,,3,,9,,115,,149,,9,,16,,44,,790,,1176,,,
W.N. CENTRAL,2014,43,,-,15,,37,,490,,856,,2,,1,,4,,41,,80,,3,,3,,20,,184,,154,,,
S. ATLANTIC,2014,43,17,,57,,135,,2319,,2883,,2,,4,,10,,192,,232,,12,,15,,33,,724,,652,,,
DIST. OF COL.,2014,43,,-,1,,6,,52,,72,,,-,0,,1,,2,,1,,,-,0,,1,,,-,12,,"DIST. OF COL.
",
E.S. CENTRAL,2014,43,4,,26,,51,,1048,,1166,,,-,1,,6,,73,,77,,9,,5,,19,,280,,163,,,
W.S. CENTRAL,2014,43,17,,35,,305,,1505,,1717,,2,,4,,20,,150,,137,,6,,6,,29,,276,,175,,,
MOUNTAIN,2014,43,18,,30,,81,,1331,,1661,,2,,2,,7,,70,,98,,1,,3,,11,,122,,163,,,
PACIFIC,2014,43,1,,3,,8,,138,,148,,,-,0,,3,,15,,16,,,-,6,,15,,269,,224,,,
AMER. SAMOA,2014,43,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2014,43,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
PENNSYLVANIA,2014,43,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,10,,5,,14,,251,,385,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
MICHIGAN,2014,43,3,,11,,19,,418,,623,,,-,0,,4,,20,,34,,,-,3,,12,,124,,243,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
ALABAMA,2014,43,2,,3,,10,,159,,145,,,-,0,,2,,11,,16,,,-,1,,5,,54,,37,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
NORTH CAROLINA,2014,43,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,2,,11,,135,,71,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
KENTUCKY,2014,43,,-,3,,10,,138,,216,,,-,0,,2,,8,,11,,1,,1,,8,,74,,40,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
OKLAHOMA,2014,43,,-,0,,0,,,-,,-,1,,0,,2,,24,,16,,5,,0,,10,,25,,9,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
HAWAII,2014,43,,-,2,,6,,71,,59,,,-,0,,2,,8,,3,,,-,0,,1,,5,,5,,"HAWAII
(21.304853205000427, -157.85774691599974)",
MISSOURI,2014,43,,N,0,,0,,,N,,N,2,,0,,3,,21,,28,,2,,1,,11,,73,,62,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEW HAMPSHIRE,2014,43,,-,1,,6,,62,,74,,,-,0,,1,,4,,3,,,-,0,,2,,9,,24,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
DELAWARE,2014,43,1,,0,,5,,29,,25,,,-,0,,1,,1,,,-,,-,0,,2,,15,,14,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEBRASKA,2014,43,,-,3,,8,,112,,120,,,-,0,,2,,10,,9,,1,,0,,2,,18,,16,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
OHIO,2014,43,15,,19,,38,,722,,955,,2,,1,,4,,33,,33,,9,,6,,22,,323,,458,,"OHIO
(40.06021184000048, -82.40425685299965)",
TEXAS,2014,43,16,,25,,263,,1040,,1250,,1,,2,,18,,91,,94,,1,,4,,24,,175,,117,,"TEXAS
(31.827240712000446, -99.4267664729997)",
CONNECTICUT,2014,43,,-,4,,10,,166,,271,,,-,0,,1,,7,,13,,,-,1,,3,,36,,58,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
WYOMING,2014,43,,-,0,,3,,15,,18,,,-,0,,1,,2,,1,,,-,0,,1,,1,,,-,"WYOMING
(43.235543013000495, -108.10982744299969)",
NEW JERSEY,2014,43,,-,1,,19,,38,,486,,,-,0,,2,,2,,32,,,-,2,,6,,79,,226,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
PUERTO RICO,2014,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,2,,13,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
ARIZONA,2014,43,6,,13,,40,,599,,653,,,-,1,,6,,29,,33,,,-,1,,4,,49,,61,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
GUAM,2014,43,,-,0,,0,,,-,18,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480998894000436, 144.73149801400064)",
COLORADO,2014,43,10,,7,,24,,298,,431,,1,,0,,2,,14,,24,,1,,0,,7,,21,,39,,"COLORADO
(38.84384201300048, -106.13360888799969)",
NORTH DAKOTA,2014,43,,-,1,,4,,45,,89,,,-,0,,1,,2,,9,,,-,0,,1,,4,,3,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
NEVADA,2014,43,1,,3,,7,,108,,109,,,-,0,,2,,6,,4,,,-,0,,3,,19,,17,,"NEVADA
(39.493242807000456, -117.07183978499972)",
OREGON,2014,43,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,22,,16,,"OREGON
(44.56745218600048, -120.15502977999972)",
WISCONSIN,2014,43,7,,7,,16,,314,,346,,2,,0,,3,,13,,18,,,-,1,,7,,33,,134,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
NEW YORK CITY,2014,43,9,,12,,25,,487,,552,,,-,1,,4,,22,,28,,6,,2,,15,,158,,285,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
SOUTH DAKOTA,2014,43,,-,2,,5,,69,,82,,,N,0,,0,,,N,,N,,-,0,,2,,6,,6,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
TENNESSEE,2014,43,2,,15,,28,,573,,616,,,-,1,,4,,36,,34,,8,,2,,12,,127,,69,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
WASHINGTON,2014,43,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,6,,25,,23,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
MARYLAND,2014,43,3,,7,,21,,334,,394,,,-,0,,4,,22,,22,,2,,2,,10,,121,,148,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
KANSAS,2014,43,,-,2,,9,,105,,122,,,N,0,,0,,,N,,N,,-,0,,1,,11,,14,,"KANSAS
(38.3477418760005, -98.20077655499966)",
CALIFORNIA,2014,43,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,5,,11,,215,,179,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
GEORGIA,2014,43,,-,17,,61,,674,,855,,,-,1,,5,,48,,70,,,-,1,,9,,61,,58,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MISSISSIPPI,2014,43,,-,3,,13,,178,,189,,,-,0,,2,,18,,16,,,-,0,,2,,25,,17,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
RHODE ISLAND,2014,43,,-,1,,10,,51,,55,,,-,0,,1,,1,,,-,,-,0,,10,,17,,30,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
VIRGINIA,2014,43,,-,0,,3,,15,,,-,,-,0,,3,,15,,31,,1,,2,,7,,90,,110,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
