Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag",Location 1,Location 2
OKLAHOMA,2015,3,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,1,,0,,8,,1,,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NORTH CAROLINA,2015,3,1,,0,,7,,4,,,-,,-,1,,13,,3,,3,,,,1,,20,,2,,3,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MISSOURI,2015,3,1,,0,,3,,1,,2,,,-,1,,3,,1,,3,,,,0,,1,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MICHIGAN,2015,3,1,,1,,4,,2,,2,,1,,1,,4,,1,,3,,1,,2,,8,,5,,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
GEORGIA,2015,3,,-,0,,3,,2,,,-,,-,2,,4,,2,,6,,,,0,,2,,,-,2,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
GUAM,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
WISCONSIN,2015,3,,-,0,,1,,,-,,-,,-,0,,57,,,-,,-,,,0,,4,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
LOUISIANA,2015,3,,-,0,,1,,,-,2,,,-,1,,4,,3,,3,,,,0,,3,,2,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NORTH DAKOTA,2015,3,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WYOMING,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
TEXAS,2015,3,,-,2,,6,,1,,1,,1,,2,,8,,5,,2,,2,,1,,6,,3,,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
SOUTH DAKOTA,2015,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MAINE,2015,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,1,,0,,2,,1,,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
SOUTH CAROLINA,2015,3,,-,0,,1,,,-,,-,,-,0,,4,,1,,2,,,,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
IDAHO,2015,3,,-,0,,1,,1,,,-,1,,0,,1,,1,,,-,,,0,,3,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MONTANA,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
KANSAS,2015,3,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,3,,,-,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
VERMONT,2015,3,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
MASSACHUSETTS,2015,3,,-,1,,3,,,-,,-,,-,0,,2,,,-,2,,,,3,,10,,,-,13,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
UTAH,2015,3,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,,1,,2,,1,,2,,"UTAH
(39.36070123200005, -111.58712831499997)",
MISSISSIPPI,2015,3,,-,0,,1,,,-,,-,,-,1,,4,,4,,3,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEW HAMPSHIRE,2015,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
NEW YORK CITY,2015,3,,-,0,,3,,,-,3,,1,,1,,6,,3,,4,,,,0,,4,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NEW YORK,2015,3,,-,0,,4,,2,,1,,1,,1,,3,,2,,1,,1,,2,,7,,4,,1,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
IOWA,2015,3,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
OHIO,2015,3,1,,0,,4,,4,,3,,7,,3,,12,,15,,9,,1,,2,,8,,2,,3,,"OHIO
(40.060212455000055, -82.40425667899996)",
WEST VIRGINIA,2015,3,,-,0,,1,,,-,,-,,-,3,,9,,1,,10,,1,,1,,6,,2,,2,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NEVADA,2015,3,,-,0,,1,,,-,1,,,-,0,,3,,,-,1,,,,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
INDIANA,2015,3,,-,0,,3,,,-,1,,,-,2,,5,,,-,8,,,,1,,6,,,-,8,,"INDIANA
(39.766913353000064, -86.14995646699998)",
KENTUCKY,2015,3,,-,0,,2,,,-,,-,,-,3,,7,,1,,9,,,,3,,8,,1,,13,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
DELAWARE,2015,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
RHODE ISLAND,2015,3,,-,0,,1,,,-,,-,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
CALIFORNIA,2015,3,,-,2,,7,,2,,7,,,-,1,,4,,,-,5,,,,1,,4,,,-,3,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
WASHINGTON,2015,3,,-,0,,3,,,-,,-,,-,0,,4,,1,,,-,,,1,,5,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MARYLAND,2015,3,,-,0,,3,,,-,1,,,-,1,,5,,2,,2,,,,1,,3,,,-,1,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
HAWAII,2015,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
ILLINOIS,2015,3,,-,1,,9,,1,,1,,,-,1,,4,,,-,7,,,,0,,2,,,-,2,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
MINNESOTA,2015,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,,0,,2,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
UNITED STATES,2015,4,6,,21,,35,,48,,54,,13,,50,,117,,98,,187,,18,,36,,55,,64,,105,,,
NEW ENGLAND,2015,4,,-,1,,7,,,-,9,,,-,1,,3,,,-,5,,,,3,,11,,1,,18,,,
MID. ATLANTIC,2015,4,1,,2,,8,,6,,7,,,-,3,,9,,6,,21,,4,,4,,12,,10,,11,,,
E.N. CENTRAL,2015,4,,-,3,,9,,8,,14,,2,,7,,62,,18,,43,,3,,7,,16,,12,,19,,,
W.N. CENTRAL,2015,4,,-,1,,5,,1,,7,,1,,1,,4,,2,,5,,2,,1,,3,,2,,4,,,
S. ATLANTIC,2015,4,3,,5,,10,,17,,7,,4,,15,,29,,27,,61,,8,,6,,23,,18,,19,,,
DIST. OF COL.,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,4,,-,1,,3,,4,,3,,3,,10,,17,,27,,39,,1,,6,,11,,14,,24,,,
W.S. CENTRAL,2015,4,1,,2,,8,,2,,3,,2,,5,,11,,12,,8,,,,2,,10,,6,,,-,,
MOUNTAIN,2015,4,,-,1,,4,,5,,3,,,-,1,,5,,1,,3,,,,2,,6,,,-,8,,,
PACIFIC,2015,4,1,,3,,7,,5,,1,,1,,3,,7,,5,,2,,,,3,,8,,1,,2,,,
AMER. SAMOA,2015,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
MISSISSIPPI,2015,4,,-,0,,1,,,-,,-,,-,1,,4,,5,,3,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
HAWAII,2015,4,,-,0,,2,,,-,,-,1,,0,,1,,1,,,-,,,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
WEST VIRGINIA,2015,4,,-,0,,1,,,-,1,,,-,3,,9,,1,,13,,,,1,,6,,2,,3,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NORTH DAKOTA,2015,4,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
MAINE,2015,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,2,,1,,2,,"MAINE
(45.25422910300006, -68.98502586699993)",
GEORGIA,2015,4,,-,0,,3,,2,,,-,,-,2,,4,,3,,9,,,,0,,2,,,-,5,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MINNESOTA,2015,4,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,,0,,2,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ARIZONA,2015,4,,-,0,,3,,2,,,-,,-,0,,1,,,-,2,,,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
GUAM,2015,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
UTAH,2015,4,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,,1,,2,,,-,3,,"UTAH
(39.36070123200005, -111.58712831499997)",
IDAHO,2015,4,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,,,0,,3,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MISSOURI,2015,4,,-,0,,3,,1,,3,,1,,1,,3,,2,,4,,2,,0,,1,,2,,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
NEW JERSEY,2015,4,,-,0,,2,,,-,1,,,-,0,,3,,,-,2,,,,0,,3,,,-,3,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
FLORIDA,2015,4,1,,2,,5,,6,,3,,2,,6,,13,,14,,24,,2,,2,,7,,8,,4,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
DELAWARE,2015,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
COLORADO,2015,4,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,,0,,3,,,-,2,,"COLORADO
(38.84384342200008, -106.13360911499996)",
TEXAS,2015,4,1,,2,,6,,2,,1,,2,,2,,8,,8,,2,,,,1,,6,,3,,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
PUERTO RICO,2015,4,,-,0,,1,,1,,1,,,-,0,,4,,4,,3,,,,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
SOUTH DAKOTA,2015,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
PENNSYLVANIA,2015,4,,-,1,,4,,3,,1,,,-,1,,3,,1,,13,,1,,1,,5,,2,,7,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
MONTANA,2015,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
WISCONSIN,2015,4,,-,0,,1,,,-,,-,,-,0,,57,,,-,1,,,,0,,4,,,-,2,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
TENNESSEE,2015,4,,-,0,,2,,,-,2,,2,,5,,8,,17,,14,,1,,3,,7,,11,,4,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
LOUISIANA,2015,4,,-,0,,1,,,-,2,,,-,1,,5,,4,,5,,,,0,,3,,2,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
RHODE ISLAND,2015,4,,-,0,,1,,,-,1,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEW HAMPSHIRE,2015,4,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
NEW MEXICO,2015,4,,-,0,,2,,2,,1,,,-,0,,1,,,-,,-,,,0,,1,,,-,3,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
CALIFORNIA,2015,4,,-,2,,7,,4,,,-,,-,1,,4,,2,,,-,,,1,,4,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MASSACHUSETTS,2015,4,,-,1,,3,,,-,1,,,-,0,,2,,,-,3,,,,3,,10,,,-,16,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
VERMONT,2015,4,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
ILLINOIS,2015,4,,-,1,,9,,2,,3,,,-,1,,4,,,-,8,,,,0,,2,,,-,2,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NORTH CAROLINA,2015,4,1,,0,,7,,5,,,-,2,,1,,13,,5,,6,,5,,1,,20,,7,,4,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
WASHINGTON,2015,4,,-,0,,3,,,-,,-,,-,0,,4,,1,,1,,,,1,,5,,,-,1,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEW YORK,2015,4,1,,0,,4,,3,,1,,,-,1,,3,,2,,1,,3,,2,,9,,7,,1,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
OKLAHOMA,2015,4,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,,,0,,8,,1,,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
ARKANSAS,2015,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,,0,,2,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
SOUTH CAROLINA,2015,4,1,,0,,1,,2,,,-,,-,0,,4,,1,,4,,,,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MARYLAND,2015,4,,-,0,,3,,,-,1,,,-,1,,5,,2,,3,,1,,1,,3,,1,,1,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
VIRGINIA,2015,4,,-,0,,3,,2,,2,,,-,1,,5,,1,,2,,,,1,,5,,,-,2,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
INDIANA,2015,4,,-,0,,3,,,-,1,,,-,2,,6,,,-,9,,,,1,,6,,,-,10,,"INDIANA
(39.766913353000064, -86.14995646699998)",
IOWA,2015,4,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
OHIO,2015,4,,-,0,,4,,4,,6,,2,,3,,10,,17,,21,,2,,2,,8,,3,,4,,"OHIO
(40.060212455000055, -82.40425667899996)",
OREGON,2015,4,1,,0,,2,,1,,1,,,-,0,,3,,1,,1,,,,0,,2,,1,,1,,"OREGON
(44.56745049300008, -120.15502935599994)",
NEW YORK CITY,2015,4,,-,0,,3,,,-,4,,,-,1,,6,,3,,5,,,,0,,4,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
ALABAMA,2015,4,,-,0,,2,,4,,1,,1,,2,,6,,4,,11,,,,1,,3,,2,,3,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NEVADA,2015,4,,-,0,,1,,,-,1,,,-,0,,3,,,-,1,,,,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
KANSAS,2015,4,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,3,,,-,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
ALASKA,2015,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
CONNECTICUT,2015,4,,-,0,,2,,,-,5,,,-,0,,2,,,-,2,,,,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MICHIGAN,2015,4,,-,1,,4,,2,,4,,,-,1,,4,,1,,4,,1,,2,,8,,9,,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
NEBRASKA,2015,4,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
KENTUCKY,2015,4,,-,0,,2,,,-,,-,,-,3,,7,,1,,11,,,,3,,8,,1,,17,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
WYOMING,2015,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
UNITED STATES,2015,5,11,,21,,35,,66,,72,,26,,50,,117,,134,,236,,6,,35,,55,,79,,149,,,
NEW ENGLAND,2015,5,1,,1,,7,,1,,10,,,-,1,,3,,,-,5,,,,3,,11,,3,,23,,,
MID. ATLANTIC,2015,5,,-,2,,8,,7,,10,,,-,3,,9,,6,,25,,1,,4,,12,,10,,18,,,
E.N. CENTRAL,2015,5,,-,3,,9,,9,,17,,11,,7,,62,,31,,52,,2,,7,,16,,18,,25,,,
W.N. CENTRAL,2015,5,,-,1,,5,,1,,7,,,-,1,,4,,2,,6,,1,,1,,3,,4,,6,,,
S. ATLANTIC,2015,5,8,,5,,10,,26,,12,,12,,15,,29,,44,,77,,,,6,,23,,19,,27,,,
DIST. OF COL.,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,5,,-,1,,3,,4,,6,,3,,10,,17,,33,,53,,,,6,,11,,16,,34,,,
W.S. CENTRAL,2015,5,1,,2,,8,,3,,4,,,-,5,,11,,12,,11,,,,2,,10,,6,,2,,,
MOUNTAIN,2015,5,,-,1,,4,,6,,4,,,-,1,,5,,1,,5,,,,2,,6,,,-,12,,,
PACIFIC,2015,5,1,,3,,7,,9,,2,,,-,3,,7,,5,,2,,2,,3,,8,,3,,2,,,
AMER. SAMOA,2015,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
MINNESOTA,2015,5,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,,0,,2,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ILLINOIS,2015,5,,-,1,,9,,2,,5,,,-,1,,4,,,-,8,,,,0,,2,,,-,2,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
LOUISIANA,2015,5,,-,0,,1,,,-,2,,,-,1,,5,,4,,5,,,,0,,3,,2,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
OHIO,2015,5,,-,0,,4,,4,,6,,10,,2,,10,,28,,26,,2,,2,,8,,7,,5,,"OHIO
(40.060212455000055, -82.40425667899996)",
SOUTH DAKOTA,2015,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
VERMONT,2015,5,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
NEW YORK CITY,2015,5,,-,0,,3,,,-,4,,,-,1,,6,,3,,5,,,,0,,4,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MISSISSIPPI,2015,5,,-,0,,1,,,-,1,,,-,1,,4,,5,,4,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NORTH CAROLINA,2015,5,3,,0,,7,,8,,,-,1,,1,,13,,6,,6,,,,1,,20,,7,,11,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
WISCONSIN,2015,5,,-,0,,1,,,-,,-,1,,0,,57,,2,,1,,,,0,,4,,,-,3,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
UTAH,2015,5,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,,1,,2,,,-,3,,"UTAH
(39.36070123200005, -111.58712831499997)",
VIRGIN ISL.,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
SOUTH CAROLINA,2015,5,,-,0,,1,,2,,,-,1,,0,,4,,2,,4,,,,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
GEORGIA,2015,5,,-,0,,3,,2,,1,,,-,2,,4,,3,,13,,,,0,,2,,,-,5,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
ARKANSAS,2015,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,,0,,2,,,-,1,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
DELAWARE,2015,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
PENNSYLVANIA,2015,5,,-,1,,4,,4,,2,,,-,1,,3,,1,,13,,1,,1,,5,,3,,11,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEVADA,2015,5,,-,0,,1,,,-,1,,,-,0,,3,,,-,2,,,,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
TEXAS,2015,5,1,,2,,6,,3,,2,,,-,2,,8,,8,,5,,,,1,,6,,3,,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
HAWAII,2015,5,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,,,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
WASHINGTON,2015,5,,-,0,,3,,,-,,-,,-,0,,4,,1,,1,,1,,1,,6,,1,,1,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
WYOMING,2015,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MAINE,2015,5,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,,,1,,2,,3,,3,,"MAINE
(45.25422910300006, -68.98502586699993)",
MICHIGAN,2015,5,,-,1,,4,,3,,5,,,-,1,,4,,1,,6,,,,2,,8,,11,,2,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
RHODE ISLAND,2015,5,,-,0,,1,,,-,1,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
CALIFORNIA,2015,5,,-,2,,7,,6,,,-,,-,1,,4,,2,,,-,,,1,,4,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
IOWA,2015,5,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
GUAM,2015,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
OREGON,2015,5,,-,0,,2,,2,,2,,,-,0,,3,,1,,1,,1,,0,,2,,2,,1,,"OREGON
(44.56745049300008, -120.15502935599994)",
NEW HAMPSHIRE,2015,5,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
KANSAS,2015,5,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,3,,1,,4,,"KANSAS
(38.347742794000055, -98.20077822999997)",
MONTANA,2015,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
NORTH DAKOTA,2015,5,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
NEW YORK,2015,5,,-,0,,4,,3,,2,,,-,1,,3,,2,,3,,,,2,,10,,6,,4,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
ALASKA,2015,5,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
TENNESSEE,2015,5,,-,0,,2,,,-,2,,2,,5,,8,,22,,22,,,,3,,7,,11,,6,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
FLORIDA,2015,5,4,,1,,5,,10,,7,,8,,6,,13,,22,,27,,,,2,,7,,8,,4,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
NEBRASKA,2015,5,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,,,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
VIRGINIA,2015,5,,-,0,,3,,3,,2,,1,,1,,5,,3,,2,,,,1,,5,,,-,2,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
INDIANA,2015,5,,-,0,,3,,,-,1,,,-,2,,6,,,-,11,,,,1,,6,,,-,13,,"INDIANA
(39.766913353000064, -86.14995646699998)",
WEST VIRGINIA,2015,5,,-,0,,1,,,-,1,,,-,3,,9,,5,,21,,,,1,,6,,3,,3,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
