Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag",Location 1,Location 2
NEW JERSEY,2014,4,,-,18,,46,,4,,42,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
ALABAMA,2014,4,1,,17,,69,,21,,46,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
AMER. SAMOA,2014,4,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,4,,-,3,,9,,1,,9,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MASSACHUSETTS,2014,4,,-,21,,54,,23,,35,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
VIRGINIA,2014,4,5,,4,,27,,36,,1,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
NEW YORK CITY,2014,4,1,,20,,52,,44,,49,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PUERTO RICO,2014,4,,-,7,,43,,,-,28,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEW MEXICO,2014,4,,-,6,,14,,,-,14,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
FLORIDA,2014,4,73,,105,,226,,309,,249,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
SOUTH DAKOTA,2014,4,,-,3,,10,,2,,8,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
UNITED STATES,2014,5,305,,888,,1520,,1804,,2412,,,
NEW ENGLAND,2014,5,7,,39,,81,,83,,92,,,
MID. ATLANTIC,2014,5,39,,96,,196,,176,,247,,,
E.N. CENTRAL,2014,5,18,,98,,171,,134,,339,,,
W.N. CENTRAL,2014,5,3,,46,,93,,77,,138,,,
S. ATLANTIC,2014,5,130,,232,,436,,793,,679,,,
NEVADA,2014,5,,-,4,,205,,3,,20,,"NEVADA
(39.49324126500045, -117.07183978499972)",
E.S. CENTRAL,2014,5,13,,57,,138,,109,,171,,,
W.S. CENTRAL,2014,5,38,,118,,248,,128,,190,,,
MOUNTAIN,2014,5,5,,51,,248,,86,,151,,,
PACIFIC,2014,5,52,,111,,217,,218,,405,,,
GUAM,2014,5,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VIRGIN ISL.,2014,7,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,7,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,7,1,,7,,43,,9,,47,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
PUERTO RICO,2014,8,,-,7,,43,,9,,51,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,8,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
C.N.M.I.,2014,8,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,8,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,9,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,9,,-,7,,43,,9,,57,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,9,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,9,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,10,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,10,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,10,,-,7,,43,,15,,70,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,10,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,11,1,,6,,43,,19,,80,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,11,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VIRGIN ISL.,2014,11,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,11,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,12,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,12,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MICHIGAN,2014,5,3,,17,,42,,25,,57,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
DELAWARE,2014,5,,-,1,,7,,4,,8,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
ARIZONA,2014,5,2,,18,,32,,23,,54,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
WASHINGTON,2014,5,2,,10,,48,,6,,13,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
SOUTH DAKOTA,2014,5,,-,3,,10,,4,,9,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
ALASKA,2014,5,4,,1,,5,,6,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
LOUISIANA,2014,5,1,,19,,43,,27,,47,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OKLAHOMA,2014,5,11,,12,,49,,32,,23,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
GEORGIA,2014,5,2,,34,,101,,77,,107,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
UTAH,2014,5,,-,6,,14,,14,,13,,"UTAH
(39.36070374600047, -111.5871285339997)",
MARYLAND,2014,5,8,,16,,37,,54,,67,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
WYOMING,2014,5,,-,1,,4,,,-,2,,"WYOMING
(43.23554147100049, -108.10982744299969)",
MISSISSIPPI,2014,5,,-,13,,41,,25,,38,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
ARKANSAS,2014,5,4,,13,,35,,15,,18,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
WISCONSIN,2014,5,,-,13,,29,,5,,57,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
HAWAII,2014,5,5,,7,,13,,29,,15,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEW YORK CITY,2014,5,5,,20,,52,,62,,68,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
DIST. OF COL.,2014,5,,-,0,,3,,,-,5,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,5,1,,2,,9,,6,,4,,"MONTANA
(47.066526051000494, -109.42441687999968)",
COLORADO,2014,5,,-,6,,27,,31,,29,,"COLORADO
(38.84384047000049, -106.13360888799969)",
CALIFORNIA,2014,5,39,,87,,171,,158,,363,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NORTH DAKOTA,2014,5,,-,2,,7,,2,,5,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
CONNECTICUT,2014,5,1,,7,,21,,19,,24,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
PENNSYLVANIA,2014,5,7,,29,,65,,47,,80,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
OREGON,2014,5,2,,6,,25,,19,,14,,"OREGON
(44.567446178000466, -120.15502977999972)",
MISSOURI,2014,5,3,,18,,38,,33,,59,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NORTH CAROLINA,2014,5,36,,32,,136,,170,,97,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
SOUTH CAROLINA,2014,5,5,,20,,52,,51,,60,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VERMONT,2014,5,2,,1,,5,,13,,6,,"VERMONT
(43.62538292400046, -72.51763944499965)",
OHIO,2014,5,15,,22,,42,,74,,57,,"OHIO
(40.06021029700048, -82.40425685299965)",
WEST VIRGINIA,2014,5,,-,3,,9,,8,,13,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
VIRGIN ISL.,2014,5,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,5,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
RHODE ISLAND,2014,5,,-,2,,13,,,-,1,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
INDIANA,2014,5,,-,13,,27,,2,,38,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEBRASKA,2014,5,,-,5,,20,,10,,10,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NEW YORK,2014,5,27,,24,,50,,60,,48,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
KANSAS,2014,5,,-,7,,18,,10,,18,,"KANSAS
(38.34774033400049, -98.20077655499966)",
FLORIDA,2014,5,74,,105,,226,,384,,318,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
NEW MEXICO,2014,5,,-,6,,14,,,-,22,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MAINE,2014,5,2,,2,,11,,4,,4,,"MAINE
(45.254228663000504, -68.98502952999962)",
VIRGINIA,2014,5,5,,6,,32,,45,,4,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
ALABAMA,2014,5,1,,17,,69,,23,,53,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
NEW HAMPSHIRE,2014,5,,-,3,,11,,3,,10,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
KENTUCKY,2014,5,5,,9,,21,,26,,33,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
IDAHO,2014,5,2,,2,,9,,9,,7,,"IDAHO
(43.682630058000484, -114.3637261449997)",
NEW JERSEY,2014,5,,-,18,,46,,7,,51,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
ILLINOIS,2014,5,,-,31,,62,,28,,130,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
MASSACHUSETTS,2014,5,2,,21,,54,,44,,47,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
AMER. SAMOA,2014,5,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,5,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
IOWA,2014,5,,-,10,,36,,18,,37,,"IOWA
(42.469404401000475, -93.81648936699969)",
TEXAS,2014,5,22,,72,,210,,54,,102,,"TEXAS
(31.827243635000457, -99.4267664729997)",
PUERTO RICO,2014,5,,-,7,,43,,,-,37,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
TENNESSEE,2014,5,7,,16,,36,,35,,47,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
UNITED STATES,2014,6,298,,900,,1547,,2279,,2911,,,
NEW ENGLAND,2014,6,8,,39,,81,,95,,108,,,
MID. ATLANTIC,2014,6,17,,96,,196,,205,,307,,,
E.N. CENTRAL,2014,6,28,,100,,171,,191,,415,,,
W.N. CENTRAL,2014,6,8,,46,,93,,96,,164,,,
S. ATLANTIC,2014,6,148,,239,,446,,982,,801,,,
E.S. CENTRAL,2014,6,16,,57,,138,,152,,204,,,
W.S. CENTRAL,2014,6,30,,119,,310,,167,,247,,,
MOUNTAIN,2014,6,9,,51,,248,,121,,177,,,
PACIFIC,2014,6,34,,114,,217,,270,,488,,,
CALIFORNIA,2014,6,23,,87,,171,,195,,431,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
ALASKA,2014,6,3,,1,,5,,9,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
C.N.M.I.,2014,6,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,6,,-,3,,9,,9,,14,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
KANSAS,2014,6,,-,7,,18,,12,,22,,"KANSAS
(38.34774033400049, -98.20077655499966)",
NORTH DAKOTA,2014,6,,-,2,,7,,3,,8,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
KENTUCKY,2014,6,1,,9,,21,,31,,43,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MICHIGAN,2014,6,1,,19,,42,,33,,77,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
NORTH CAROLINA,2014,6,15,,34,,136,,197,,97,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
NEW MEXICO,2014,6,,-,6,,14,,,-,24,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ARIZONA,2014,6,4,,18,,32,,40,,63,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
SOUTH CAROLINA,2014,6,5,,20,,52,,61,,62,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VIRGINIA,2014,6,12,,19,,42,,62,,39,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
VIRGIN ISL.,2014,6,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,6,,-,7,,43,,5,,45,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
DELAWARE,2014,6,,-,1,,7,,5,,8,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEW JERSEY,2014,6,,-,18,,46,,8,,60,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
OHIO,2014,6,27,,22,,42,,101,,68,,"OHIO
(40.06021029700048, -82.40425685299965)",
AMER. SAMOA,2014,6,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
NEBRASKA,2014,6,2,,5,,20,,12,,12,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MINNESOTA,2014,6,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NEW YORK,2014,6,12,,25,,50,,72,,64,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,6,1,,20,,52,,70,,83,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
IDAHO,2014,6,1,,2,,9,,10,,7,,"IDAHO
(43.682630058000484, -114.3637261449997)",
TEXAS,2014,6,18,,72,,294,,80,,135,,"TEXAS
(31.827243635000457, -99.4267664729997)",
LOUISIANA,2014,6,1,,19,,43,,29,,60,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
MONTANA,2014,6,2,,2,,9,,9,,6,,"MONTANA
(47.066526051000494, -109.42441687999968)",
MAINE,2014,6,2,,2,,11,,6,,5,,"MAINE
(45.254228663000504, -68.98502952999962)",
TENNESSEE,2014,6,9,,16,,36,,48,,56,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
ILLINOIS,2014,6,,-,30,,62,,41,,156,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
CONNECTICUT,2014,6,,-,7,,21,,19,,29,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
UTAH,2014,6,2,,6,,14,,21,,18,,"UTAH
(39.36070374600047, -111.5871285339997)",
NEVADA,2014,6,,-,4,,205,,3,,21,,"NEVADA
(39.49324126500045, -117.07183978499972)",
VERMONT,2014,6,2,,1,,6,,16,,7,,"VERMONT
(43.62538292400046, -72.51763944499965)",
FLORIDA,2014,6,83,,105,,226,,466,,369,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
ALABAMA,2014,6,5,,17,,69,,33,,64,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
NEW HAMPSHIRE,2014,6,,-,3,,11,,6,,11,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
WISCONSIN,2014,6,,-,13,,29,,9,,69,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MARYLAND,2014,6,12,,16,,37,,70,,75,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
COLORADO,2014,6,,-,6,,27,,38,,35,,"COLORADO
(38.84384047000049, -106.13360888799969)",
DIST. OF COL.,2014,6,,-,0,,3,,,-,6,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
MASSACHUSETTS,2014,6,,-,21,,54,,44,,51,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
RHODE ISLAND,2014,6,4,,2,,13,,4,,5,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
WYOMING,2014,6,,-,1,,4,,,-,3,,"WYOMING
(43.23554147100049, -108.10982744299969)",
ARKANSAS,2014,6,3,,13,,35,,18,,22,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
GUAM,2014,6,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
SOUTH DAKOTA,2014,6,,-,3,,10,,7,,14,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
PENNSYLVANIA,2014,6,4,,29,,65,,55,,100,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
WASHINGTON,2014,6,2,,10,,59,,8,,21,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
OKLAHOMA,2014,6,8,,12,,49,,40,,30,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MISSISSIPPI,2014,6,1,,13,,41,,40,,41,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
GEORGIA,2014,6,21,,34,,101,,112,,131,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
INDIANA,2014,6,,-,14,,27,,7,,45,,"INDIANA
(39.76691364600049, -86.14995579899966)",
HAWAII,2014,6,5,,7,,13,,38,,19,,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,6,1,,6,,25,,20,,17,,"OREGON
(44.567446178000466, -120.15502977999972)",
MISSOURI,2014,6,3,,18,,38,,36,,69,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
IOWA,2014,6,3,,10,,36,,26,,39,,"IOWA
(42.469404401000475, -93.81648936699969)",
UNITED STATES,2014,7,210,,914,,1547,,2655,,3355,,,
NEW ENGLAND,2014,7,2,,39,,80,,131,,124,,,
MID. ATLANTIC,2014,7,29,,96,,197,,237,,370,,,
E.N. CENTRAL,2014,7,20,,100,,171,,232,,463,,,
W.N. CENTRAL,2014,7,4,,46,,93,,112,,184,,,
S. ATLANTIC,2014,7,77,,241,,446,,1089,,901,,,
E.S. CENTRAL,2014,7,10,,58,,138,,168,,225,,,
W.S. CENTRAL,2014,7,28,,119,,361,,201,,308,,,
MOUNTAIN,2014,7,3,,50,,248,,150,,200,,,
NEBRASKA,2014,7,,-,5,,20,,12,,16,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH CAROLINA,2014,7,8,,37,,136,,228,,97,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MICHIGAN,2014,7,2,,18,,42,,44,,84,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
CONNECTICUT,2014,7,,-,7,,21,,19,,32,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
WASHINGTON,2014,7,,-,10,,59,,8,,28,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
ALASKA,2014,7,1,,2,,5,,10,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
LOUISIANA,2014,7,,-,19,,43,,30,,71,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEW YORK CITY,2014,7,17,,20,,52,,87,,98,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
SOUTH DAKOTA,2014,7,,-,3,,10,,8,,16,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
COLORADO,2014,7,,-,6,,27,,38,,39,,"COLORADO
(38.84384047000049, -106.13360888799969)",
NEW YORK,2014,7,7,,25,,50,,79,,73,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
MARYLAND,2014,7,14,,16,,37,,86,,85,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
AMER. SAMOA,2014,7,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
TEXAS,2014,7,20,,72,,345,,106,,175,,"TEXAS
(31.827243635000457, -99.4267664729997)",
UTAH,2014,7,,-,6,,14,,22,,20,,"UTAH
(39.36070374600047, -111.5871285339997)",
MISSOURI,2014,7,4,,18,,38,,41,,75,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
WISCONSIN,2014,7,,-,13,,29,,9,,75,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
NEW HAMPSHIRE,2014,7,,-,3,,11,,8,,12,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
MAINE,2014,7,,-,2,,11,,6,,6,,"MAINE
(45.254228663000504, -68.98502952999962)",
KANSAS,2014,7,,-,7,,18,,12,,27,,"KANSAS
(38.34774033400049, -98.20077655499966)",
OREGON,2014,7,,-,6,,25,,21,,19,,"OREGON
(44.567446178000466, -120.15502977999972)",
OKLAHOMA,2014,7,5,,12,,49,,44,,32,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ALABAMA,2014,7,2,,17,,69,,38,,70,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
GEORGIA,2014,7,3,,34,,101,,118,,149,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
CALIFORNIA,2014,7,36,,87,,171,,258,,512,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
IDAHO,2014,7,,-,2,,9,,11,,8,,"IDAHO
(43.682630058000484, -114.3637261449997)",
DELAWARE,2014,7,,-,1,,7,,5,,9,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
PENNSYLVANIA,2014,7,5,,28,,64,,63,,119,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
WEST VIRGINIA,2014,7,,-,3,,9,,10,,15,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
KENTUCKY,2014,7,,-,9,,21,,31,,47,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MINNESOTA,2014,7,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
ARKANSAS,2014,7,3,,13,,35,,21,,30,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
C.N.M.I.,2014,7,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
ARIZONA,2014,7,3,,18,,33,,49,,69,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
HAWAII,2014,7,,-,7,,13,,38,,21,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEVADA,2014,7,,-,4,,205,,3,,24,,"NEVADA
(39.49324126500045, -117.07183978499972)",
NEW MEXICO,2014,7,,-,6,,14,,15,,29,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MISSISSIPPI,2014,7,,-,13,,41,,40,,48,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
RHODE ISLAND,2014,7,1,,2,,13,,5,,5,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VIRGINIA,2014,7,1,,19,,42,,64,,45,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
FLORIDA,2014,7,50,,105,,226,,516,,420,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
INDIANA,2014,7,,-,14,,27,,7,,56,,"INDIANA
(39.76691364600049, -86.14995579899966)",
SOUTH CAROLINA,2014,7,1,,20,,52,,62,,75,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
IOWA,2014,7,,-,10,,36,,33,,42,,"IOWA
(42.469404401000475, -93.81648936699969)",
ILLINOIS,2014,7,,-,31,,65,,53,,166,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
MASSACHUSETTS,2014,7,1,,21,,55,,77,,60,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW JERSEY,2014,7,,-,18,,46,,8,,80,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
VERMONT,2014,7,,-,1,,6,,16,,9,,"VERMONT
(43.62538292400046, -72.51763944499965)",
OHIO,2014,7,18,,23,,42,,119,,82,,"OHIO
(40.06021029700048, -82.40425685299965)",
MONTANA,2014,7,,-,2,,9,,10,,8,,"MONTANA
(47.066526051000494, -109.42441687999968)",
NORTH DAKOTA,2014,7,,-,2,,7,,6,,8,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
TENNESSEE,2014,7,8,,16,,36,,59,,60,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
DIST. OF COL.,2014,7,,-,0,,3,,,-,6,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,7,,-,1,,4,,2,,3,,"WYOMING
(43.23554147100049, -108.10982744299969)",
UNITED STATES,2014,8,237,,925,,1548,,3070,,3776,,,
NEW ENGLAND,2014,8,2,,39,,79,,157,,142,,,
MID. ATLANTIC,2014,8,34,,96,,198,,274,,420,,,
E.N. CENTRAL,2014,8,12,,101,,171,,269,,520,,,
W.N. CENTRAL,2014,8,12,,46,,93,,136,,214,,,
S. ATLANTIC,2014,8,123,,242,,446,,1234,,986,,,
E.S. CENTRAL,2014,8,9,,58,,138,,216,,247,,,
W.S. CENTRAL,2014,8,26,,121,,388,,248,,366,,,
MOUNTAIN,2014,8,3,,50,,249,,177,,223,,,
PACIFIC,2014,8,16,,114,,217,,359,,658,,,
VIRGINIA,2014,8,7,,19,,42,,75,,49,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
LOUISIANA,2014,8,,-,19,,43,,30,,84,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEW HAMPSHIRE,2014,8,1,,3,,11,,14,,12,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
INDIANA,2014,8,,-,14,,27,,15,,63,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MISSOURI,2014,8,7,,18,,38,,50,,87,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
ARKANSAS,2014,8,,-,13,,35,,21,,33,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
ALABAMA,2014,8,4,,17,,69,,63,,76,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
PENNSYLVANIA,2014,8,3,,28,,64,,68,,134,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
CALIFORNIA,2014,8,,-,87,,171,,258,,578,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NORTH DAKOTA,2014,8,,-,2,,7,,6,,11,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MICHIGAN,2014,8,2,,18,,42,,55,,96,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
TENNESSEE,2014,8,5,,16,,36,,70,,67,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
SOUTH DAKOTA,2014,8,1,,3,,10,,13,,19,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
AMER. SAMOA,2014,8,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
DELAWARE,2014,8,,-,1,,7,,5,,10,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEW YORK,2014,8,13,,25,,50,,93,,84,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
WISCONSIN,2014,8,,-,13,,29,,10,,88,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
NEW YORK CITY,2014,8,18,,20,,52,,105,,111,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
