 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014, flag",Location 1,Location 2
LOUISIANA,2015,39,,-,4,,11,,152,,224,,190,,111,,925,,5353,,6118,,1,,1,,5,,47,,39,,"LOUISIANA
(31.31111, -92.445)",
KANSAS,2015,39,,-,2,,4,,71,,77,,6,,48,,84,,1871,,1938,,,-,1,,3,,29,,33,,"KANSAS
(38.345528, -98.201847)",
MAINE,2015,39,1,,2,,9,,81,,113,,16,,5,,14,,221,,177,,,-,1,,3,,28,,14,,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2015,39,,-,0,,7,,17,,37,,3,,11,,29,,374,,395,,,-,0,,3,,13,,10,,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2015,39,2,,3,,13,,135,,189,,8,,26,,48,,989,,1037,,,-,1,,3,,30,,44,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2015,39,,N,0,,0,,,N,,N,96,,146,,242,,6027,,5386,,1,,2,,7,,94,,75,,"TENNESSEE
(35.681402, -85.774444)",
MISSOURI,2015,39,,-,0,,10,,25,,165,,151,,165,,214,,6465,,5335,,,-,0,,6,,12,,68,,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2015,39,,N,0,,0,,,N,,N,,-,78,,142,,1872,,4113,,,-,1,,2,,31,,23,,"MISSISSIPPI
(32.738663, -89.537312)",
MARYLAND,2015,39,6,,5,,11,,169,,195,,,-,117,,210,,4287,,4060,,4,,1,,6,,70,,66,,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2015,40,144,,229,,309,,8846,,11043,,4206,,6940,,8035,,276644,,262916,,34,,68,,130,,2865,,2606,,,
NEW ENGLAND,2015,40,2,,20,,38,,785,,964,,49,,133,,177,,5020,,5301,,1,,5,,10,,184,,168,,,
MID. ATLANTIC,2015,40,45,,47,,72,,1855,,2255,,369,,842,,1004,,33196,,29823,,6,,11,,31,,451,,442,,,
NEW YORK CITY,2015,40,19,,16,,30,,642,,691,,16,,319,,376,,12242,,10460,,,-,2,,7,,72,,92,,"NEW YORK CITY
",
E.N. CENTRAL,2015,40,13,,24,,51,,1029,,1219,,433,,990,,1120,,38248,,40466,,,-,12,,27,,434,,411,,,
W.N. CENTRAL,2015,40,,-,9,,37,,326,,1175,,182,,389,,441,,15233,,14020,,2,,5,,15,,204,,215,,,
S. ATLANTIC,2015,40,24,,42,,75,,1590,,2030,,1010,,1591,,2227,,64408,,57450,,15,,17,,64,,765,,647,,,
DIST. OF COL.,2015,40,,-,0,,4,,17,,51,,39,,44,,137,,2079,,1435,,,-,0,,3,,5,,7,,"DIST. OF COL.
",
E.S. CENTRAL,2015,40,,-,3,,10,,135,,133,,212,,428,,678,,16130,,18554,,4,,4,,15,,208,,184,,,
W.S. CENTRAL,2015,40,4,,6,,15,,233,,310,,940,,1020,,1826,,41252,,41188,,1,,4,,16,,172,,148,,,
MOUNTAIN,2015,40,10,,18,,49,,820,,832,,339,,368,,513,,14913,,14232,,5,,7,,15,,301,,255,,,
PACIFIC,2015,40,46,,50,,100,,2073,,2125,,672,,1192,,1361,,48244,,41882,,,-,3,,11,,146,,136,,,
AMER. SAMOA,2015,40,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,40,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
NEBRASKA,2015,40,,-,2,,8,,101,,101,,17,,30,,52,,1188,,1119,,,-,0,,3,,25,,20,,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2015,40,3,,7,,29,,309,,413,,78,,81,,162,,3497,,3101,,,-,1,,4,,22,,67,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2015,40,,-,8,,18,,318,,379,,114,,193,,278,,7740,,7263,,,-,2,,7,,84,,67,,"MICHIGAN
(44.66399, -84.711206)",
GUAM,2015,40,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2015,40,6,,2,,8,,117,,87,,135,,139,,196,,5777,,5952,,2,,2,,8,,105,,75,,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2015,40,,-,0,,3,,25,,35,,,-,13,,19,,444,,506,,1,,0,,2,,14,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2015,40,7,,12,,21,,479,,553,,150,,234,,327,,9398,,9736,,1,,4,,10,,148,,131,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGIN ISL.,2015,40,,-,0,,0,,,-,,-,,-,1,,6,,39,,61,,,N,0,,0,,,N,,N,"VIRGIN ISL.
(18.060868, -64.840836)",
WEST VIRGINIA,2015,40,,-,1,,6,,34,,46,,5,,13,,31,,491,,654,,,-,1,,3,,33,,31,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2015,40,1,,4,,10,,171,,173,,27,,40,,70,,1496,,1742,,,-,1,,3,,30,,49,,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2015,40,,-,1,,6,,59,,107,,,-,17,,32,,560,,677,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2015,40,,N,0,,0,,,N,,N,14,,254,,355,,9462,,12102,,,-,3,,8,,134,,111,,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2015,40,,-,0,,10,,25,,171,,145,,167,,215,,6673,,5462,,,-,0,,6,,12,,70,,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2015,40,,-,0,,16,,,-,519,,6,,78,,98,,2838,,3056,,,-,2,,10,,120,,84,,"MINNESOTA
(44.943719, -93.094281)",
NEW HAMPSHIRE,2015,40,,-,2,,4,,59,,70,,3,,5,,8,,159,,166,,,-,0,,2,,12,,15,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PUERTO RICO,2015,40,,-,0,,3,,14,,25,,,-,9,,39,,409,,344,,,-,0,,1,,1,,3,,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2015,40,,-,11,,28,,455,,566,,,-,74,,98,,2655,,2736,,,-,2,,7,,90,,72,,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2015,40,,-,5,,12,,181,,193,,54,,153,,243,,6462,,6274,,,-,2,,9,,75,,61,,"VIRGINIA
(37.542699, -78.45822)",
NEW JERSEY,2015,40,,-,5,,16,,127,,287,,46,,130,,156,,5085,,4996,,,-,2,,5,,85,,116,,"NEW JERSEY
(40.121601, -74.321404)",
OKLAHOMA,2015,40,,N,0,,0,,,N,,N,31,,90,,132,,3476,,4697,,,-,2,,10,,81,,63,,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2015,40,,-,1,,5,,56,,83,,4,,41,,72,,1671,,1673,,,-,1,,5,,43,,35,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2015,40,,-,2,,8,,95,,131,,106,,137,,283,,5657,,5552,,,-,2,,5,,70,,70,,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2015,40,,-,0,,1,,5,,,N,,-,75,,166,,2771,,2959,,,-,0,,4,,15,,30,,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2015,40,15,,21,,34,,852,,896,,257,,436,,557,,17342,,15834,,8,,3,,58,,204,,212,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2015,40,,-,2,,4,,75,,79,,11,,48,,84,,1921,,1987,,1,,1,,3,,31,,34,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2015,40,3,,2,,6,,78,,77,,218,,75,,252,,3296,,3608,,,-,1,,5,,33,,36,,"ARKANSAS
(34.748745, -92.275105)",
SOUTH CAROLINA,2015,40,2,,2,,8,,85,,108,,81,,152,,219,,6066,,6381,,,-,2,,5,,78,,44,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CALIFORNIA,2015,40,21,,34,,78,,1423,,1421,,464,,981,,1139,,40328,,33870,,,-,1,,5,,41,,34,,"CALIFORNIA
(37.640735, -121.002435)",
IOWA,2015,40,,-,1,,8,,41,,163,,3,,39,,58,,1609,,1213,,,-,0,,2,,1,,2,,"IOWA
(42.46942, -93.815856)",
MARYLAND,2015,40,6,,5,,11,,175,,201,,,-,116,,210,,4287,,4196,,4,,1,,6,,78,,68,,"MARYLAND
(39.290443, -76.612333)",
COLORADO,2015,40,,-,6,,20,,251,,271,,148,,77,,172,,3276,,2320,,2,,1,,5,,72,,56,,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2015,40,,N,0,,0,,,N,,N,164,,76,,138,,2114,,4255,,1,,1,,2,,32,,23,,"MISSISSIPPI
(32.738663, -89.537312)",
MONTANA,2015,40,,-,1,,6,,72,,,-,7,,14,,22,,591,,282,,,-,0,,2,,8,,8,,"MONTANA
(47.062617, -109.430168)",
ALABAMA,2015,40,,-,3,,10,,130,,133,,,-,133,,250,,5170,,5823,,,-,1,,6,,63,,53,,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2015,40,,-,1,,5,,70,,75,,3,,15,,35,,482,,1010,,,-,0,,3,,17,,17,,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2015,40,,N,0,,0,,,N,,N,384,,297,,1026,,14293,,11286,,1,,3,,22,,131,,114,,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2015,40,10,,7,,21,,307,,296,,121,,304,,368,,11892,,12448,,,-,3,,11,,124,,96,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2015,40,21,,7,,63,,303,,322,,134,,110,,164,,4244,,4539,,,-,0,,2,,3,,5,,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2015,40,4,,6,,15,,252,,270,,71,,54,,79,,2331,,1741,,,-,2,,5,,77,,59,,"OREGON
(44.567912, -120.156945)",
IDAHO,2015,40,3,,3,,9,,127,,127,,,-,8,,21,,276,,326,,1,,0,,2,,19,,15,,"IDAHO
(43.680635, -114.364237)",
GEORGIA,2015,40,,-,5,,33,,224,,520,,172,,296,,352,,11876,,10433,,2,,3,,14,,146,,97,,"GEORGIA
(32.836038, -83.631709)",
MAINE,2015,40,1,,2,,9,,83,,117,,14,,5,,16,,236,,177,,,-,0,,3,,28,,15,,"MAINE
(45.252223, -68.986647)",
TEXAS,2015,40,,N,0,,0,,,N,,N,691,,723,,1015,,29127,,26634,,,-,0,,2,,8,,8,,"TEXAS
(31.827233, -99.423022)",
TENNESSEE,2015,40,,N,0,,0,,,N,,N,48,,146,,242,,6075,,5517,,3,,2,,7,,98,,78,,"TENNESSEE
(35.681402, -85.774444)",
NEVADA,2015,40,,-,1,,3,,32,,51,,34,,54,,130,,2211,,2508,,,-,0,,2,,21,,16,,"NEVADA
(39.491833, -117.070159)",
WYOMING,2015,40,,-,0,,3,,20,,22,,,-,2,,8,,99,,86,,,-,0,,1,,1,,6,,"WYOMING
(43.23558, -108.110518)",
HAWAII,2015,40,,-,0,,3,,25,,37,,,-,23,,40,,859,,722,,,-,0,,2,,8,,21,,"HAWAII
(21.30992, -157.858158)",
NEW YORK,2015,40,19,,15,,33,,607,,724,,157,,164,,253,,6471,,4631,,5,,3,,17,,146,,103,,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2015,40,1,,3,,11,,155,,233,,,-,111,,925,,5353,,6249,,1,,1,,5,,50,,41,,"LOUISIANA
(31.31111, -92.445)",
RHODE ISLAND,2015,40,,-,0,,7,,17,,38,,2,,11,,29,,387,,411,,,-,0,,3,,14,,10,,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2015,40,1,,0,,2,,22,,15,,18,,34,,66,,1512,,957,,,-,0,,2,,15,,13,,"DELAWARE
(39.008676, -75.574561)",
VERMONT,2015,40,,N,0,,8,,,N,,N,3,,2,,6,,87,,69,,1,,0,,2,,10,,7,,"VERMONT
(43.622479, -72.51927)",
UTAH,2015,40,1,,3,,13,,145,,191,,11,,26,,42,,1012,,1085,,,-,1,,4,,32,,44,,"UTAH
(39.359772, -111.584173)",
UNITED STATES,2015,41,186,,229,,301,,9217,,11350,,4255,,6938,,7875,,284840,,269768,,32,,68,,130,,2922,,2666,,,
NEW ENGLAND,2015,41,11,,20,,37,,849,,999,,83,,136,,177,,5362,,5451,,2,,5,,10,,188,,177,,,
MID. ATLANTIC,2015,41,53,,47,,72,,1915,,2315,,392,,848,,1005,,33894,,30624,,4,,11,,31,,457,,450,,,
NEW YORK CITY,2015,41,17,,16,,30,,659,,707,,31,,319,,376,,12363,,10749,,,-,2,,7,,72,,92,,"NEW YORK CITY
",
E.N. CENTRAL,2015,41,20,,24,,52,,1086,,1250,,410,,993,,1164,,39287,,41520,,5,,12,,27,,446,,426,,,
W.N. CENTRAL,2015,41,,-,11,,37,,369,,1201,,156,,389,,441,,15620,,14391,,,-,5,,15,,205,,219,,,
S. ATLANTIC,2015,41,35,,42,,75,,1631,,2096,,886,,1592,,2227,,65726,,58865,,9,,17,,66,,777,,658,,,
DIST. OF COL.,2015,41,,-,0,,4,,17,,53,,,-,44,,137,,2079,,1468,,1,,0,,3,,6,,7,,"DIST. OF COL.
",
E.S. CENTRAL,2015,41,5,,3,,10,,142,,136,,262,,427,,678,,16716,,19089,,4,,4,,15,,214,,187,,,
W.S. CENTRAL,2015,41,3,,6,,15,,237,,317,,1126,,1045,,1663,,43145,,42147,,5,,4,,16,,178,,152,,,
MOUNTAIN,2015,41,11,,18,,48,,837,,859,,205,,368,,513,,15352,,14616,,3,,7,,15,,310,,259,,,
PACIFIC,2015,41,48,,50,,100,,2151,,2177,,735,,1198,,1365,,49738,,43065,,,-,3,,11,,147,,138,,,
AMER. SAMOA,2015,41,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,41,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,41,,-,0,,0,,,-,,-,,-,1,,6,,39,,62,,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
CONNECTICUT,2015,41,,-,4,,10,,171,,177,,19,,40,,70,,1524,,1783,,,-,1,,3,,30,,51,,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2015,41,,N,0,,0,,,N,,N,8,,91,,132,,3545,,4818,,4,,2,,10,,85,,66,,"OKLAHOMA
(35.468494, -97.521264)",
GUAM,2015,41,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2015,41,,N,0,,0,,,N,,N,109,,76,,219,,2295,,4384,,1,,1,,2,,33,,23,,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2015,41,,N,0,,0,,,N,,N,61,,146,,242,,6136,,5659,,3,,2,,7,,103,,80,,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2015,41,,N,0,,0,,,N,,N,328,,303,,1026,,14641,,11571,,,-,3,,22,,131,,115,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2015,41,1,,1,,3,,37,,53,,,-,52,,130,,2211,,2570,,,-,0,,2,,21,,16,,"NEVADA
(39.491833, -117.070159)",
MASSACHUSETTS,2015,41,5,,12,,27,,511,,589,,39,,76,,98,,2928,,2825,,1,,2,,7,,92,,78,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW MEXICO,2015,41,,-,1,,5,,57,,85,,5,,41,,72,,1706,,1720,,,-,1,,4,,47,,36,,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2015,41,,-,0,,3,,26,,37,,,-,22,,40,,904,,747,,,-,0,,2,,8,,21,,"HAWAII
(21.30992, -157.858158)",
WASHINGTON,2015,41,34,,7,,63,,337,,340,,136,,110,,152,,4380,,4703,,,-,0,,2,,3,,5,,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2015,41,,-,1,,8,,53,,168,,5,,39,,61,,1655,,1240,,,-,0,,2,,1,,2,,"IOWA
(42.46942, -93.815856)",
KANSAS,2015,41,,-,2,,5,,78,,82,,13,,48,,84,,1991,,2039,,,-,1,,3,,32,,34,,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2015,41,3,,2,,4,,62,,74,,1,,5,,8,,162,,168,,,-,0,,2,,13,,16,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MICHIGAN,2015,41,1,,8,,18,,325,,389,,113,,193,,278,,7919,,7458,,1,,2,,7,,85,,71,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2015,41,29,,20,,34,,881,,922,,215,,438,,557,,17856,,16240,,5,,3,,58,,209,,215,,"FLORIDA
(28.915325, -81.922409)",
NEW JERSEY,2015,41,,-,5,,16,,127,,299,,37,,130,,156,,5208,,5126,,,-,2,,5,,86,,119,,"NEW JERSEY
(40.104655, -74.386686)",
ARKANSAS,2015,41,1,,2,,6,,79,,80,,184,,75,,233,,3419,,3683,,1,,1,,5,,35,,36,,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2015,41,8,,35,,78,,1459,,1452,,527,,985,,1143,,41565,,34790,,,-,1,,5,,42,,34,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2015,41,,N,0,,0,,,N,,N,10,,254,,355,,9718,,12451,,,-,3,,8,,134,,117,,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2015,41,,N,0,,8,,,N,,N,8,,2,,6,,103,,69,,1,,0,,2,,11,,7,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2015,41,,-,2,,8,,101,,101,,14,,30,,52,,1225,,1147,,,-,0,,3,,25,,21,,"NEBRASKA
(41.640503, -99.367122)",
INDIANA,2015,41,1,,3,,9,,110,,132,,83,,137,,286,,5836,,5702,,,-,2,,5,,77,,74,,"INDIANA
(39.76845, -86.156212)",
UTAH,2015,41,4,,3,,13,,151,,195,,14,,25,,42,,1042,,1114,,,-,1,,4,,32,,44,,"UTAH
(39.359772, -111.584173)",
MAINE,2015,41,3,,2,,9,,88,,121,,11,,5,,16,,247,,178,,,-,0,,3,,28,,15,,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2015,41,2,,3,,11,,158,,237,,192,,134,,764,,6227,,6385,,,-,1,,5,,50,,42,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2015,41,,-,1,,6,,72,,,-,12,,14,,22,,608,,292,,,-,0,,2,,8,,8,,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2015,41,,-,4,,33,,224,,542,,114,,296,,359,,12100,,10743,,,-,3,,14,,148,,97,,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2015,41,3,,5,,12,,187,,194,,50,,153,,243,,6512,,6408,,1,,2,,9,,76,,63,,"VIRGINIA
(37.542699, -78.45822)",
ARIZONA,2015,41,4,,2,,7,,119,,93,,100,,140,,196,,6056,,6095,,,-,2,,8,,107,,77,,"ARIZONA
(34.869712, -111.760902)",
MARYLAND,2015,41,1,,5,,11,,177,,209,,,-,116,,210,,4287,,4293,,,-,1,,6,,75,,73,,"MARYLAND
(39.290443, -76.612333)",
OHIO,2015,41,9,,7,,21,,317,,305,,93,,305,,369,,12178,,12732,,4,,3,,11,,128,,97,,"OHIO
(40.056807, -82.405897)",
OREGON,2015,41,2,,6,,15,,255,,273,,65,,54,,79,,2395,,1786,,,-,2,,5,,77,,61,,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2015,41,,-,0,,3,,14,,26,,9,,9,,39,,436,,344,,,-,0,,1,,1,,3,,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2015,41,9,,7,,29,,334,,424,,111,,82,,162,,3636,,3177,,,-,1,,4,,22,,67,,"WISCONSIN
(44.395526, -89.834513)",
ALASKA,2015,41,4,,1,,5,,74,,75,,7,,14,,35,,494,,1039,,,-,0,,3,,17,,17,,"ALASKA
(64.836661, -147.738891)",
TEXAS,2015,41,,N,0,,0,,,N,,N,742,,726,,1015,,29954,,27261,,,-,0,,2,,8,,8,,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2015,41,5,,3,,10,,137,,136,,,-,132,,250,,5328,,5983,,,-,1,,6,,63,,54,,"ALABAMA
(32.839182, -86.631125)",
COLORADO,2015,41,,-,6,,20,,251,,281,,74,,77,,172,,3354,,2402,,3,,1,,5,,75,,57,,"COLORADO
(38.841772, -106.132562)",
IDAHO,2015,41,2,,3,,9,,130,,130,,,-,7,,21,,276,,334,,,-,0,,2,,19,,15,,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2015,41,7,,12,,21,,493,,568,,158,,235,,327,,9688,,9960,,3,,4,,10,,152,,136,,"PENNSYLVANIA
(40.789676, -77.858055)",
KENTUCKY,2015,41,,-,0,,1,,5,,,N,92,,75,,166,,2957,,3063,,,-,0,,4,,15,,30,,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2015,41,,-,0,,10,,25,,177,,121,,168,,215,,6832,,5608,,,-,0,,6,,12,,70,,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2015,41,,-,1,,6,,34,,49,,14,,13,,31,,508,,664,,,-,1,,3,,36,,31,,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2015,41,,-,0,,3,,20,,22,,,-,2,,8,,99,,89,,,-,0,,1,,1,,6,,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2015,41,29,,15,,33,,636,,741,,166,,164,,253,,6635,,4789,,1,,3,,17,,147,,103,,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2015,41,,-,0,,7,,17,,38,,5,,11,,29,,398,,428,,,-,0,,3,,14,,10,,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2015,41,,-,0,,3,,24,,17,,32,,34,,66,,1544,,984,,1,,0,,2,,16,,13,,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2015,41,2,,2,,8,,87,,110,,133,,152,,219,,6199,,6494,,1,,2,,5,,80,,44,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2015,41,,-,0,,3,,26,,35,,1,,12,,19,,458,,520,,,-,0,,2,,14,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
MINNESOTA,2015,41,,-,0,,16,,,-,531,,2,,77,,98,,2887,,3134,,,-,2,,10,,120,,87,,"MINNESOTA
(44.943719, -93.094281)",
SOUTH DAKOTA,2015,41,,-,2,,8,,86,,107,,,-,17,,32,,572,,703,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
UNITED STATES,2015,42,195,,230,,306,,9538,,11638,,4482,,6994,,7925,,293017,,276409,,27,,68,,130,,2983,,2729,,,
NEW ENGLAND,2015,42,12,,20,,39,,901,,1026,,85,,135,,177,,5503,,5600,,,-,5,,10,,192,,183,,,
MID. ATLANTIC,2015,42,49,,47,,72,,1971,,2375,,461,,848,,1007,,34822,,31339,,4,,11,,31,,469,,463,,,
NEW YORK CITY,2015,42,19,,16,,30,,678,,723,,32,,321,,377,,12708,,11040,,1,,2,,7,,73,,93,,"NEW YORK CITY
",
E.N. CENTRAL,2015,42,12,,24,,52,,1115,,1272,,507,,994,,1198,,40601,,42490,,2,,12,,27,,449,,439,,,
W.N. CENTRAL,2015,42,,-,11,,30,,386,,1238,,188,,389,,441,,16030,,14733,,,-,5,,15,,206,,226,,,
S. ATLANTIC,2015,42,49,,41,,75,,1687,,2152,,1075,,1600,,2227,,67837,,60124,,9,,17,,66,,791,,671,,,
DIST. OF COL.,2015,42,,-,0,,4,,17,,55,,,-,45,,137,,2105,,1481,,,-,0,,3,,6,,7,,"DIST. OF COL.
",
E.S. CENTRAL,2015,42,2,,3,,10,,151,,142,,238,,422,,678,,17072,,19531,,3,,5,,15,,225,,189,,,
W.S. CENTRAL,2015,42,7,,6,,15,,244,,319,,1019,,1044,,1666,,44311,,43366,,1,,4,,16,,179,,153,,,
MOUNTAIN,2015,42,5,,19,,48,,850,,872,,214,,368,,513,,15622,,14950,,4,,7,,15,,316,,263,,,
PACIFIC,2015,42,59,,50,,100,,2233,,2242,,695,,1204,,1370,,51219,,44276,,4,,4,,11,,156,,142,,,
AMER. SAMOA,2015,42,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,42,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,42,,-,0,,0,,,-,,-,,-,1,,6,,39,,67,,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
KANSAS,2015,42,,-,2,,6,,81,,86,,11,,48,,84,,2022,,2088,,,-,1,,3,,32,,34,,"KANSAS
(38.345528, -98.201847)",
MAINE,2015,42,2,,2,,9,,92,,128,,14,,5,,16,,261,,181,,,-,1,,3,,30,,16,,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2015,42,,N,0,,0,,,N,,N,17,,256,,355,,10000,,12749,,,-,3,,8,,134,,121,,"ILLINOIS
(40.477092, -88.993221)",
MINNESOTA,2015,42,,-,0,,16,,,-,547,,7,,76,,98,,2968,,3228,,,-,2,,10,,120,,88,,"MINNESOTA
(44.943719, -93.094281)",
MARYLAND,2015,42,7,,4,,11,,185,,214,,112,,119,,210,,4910,,4388,,,-,1,,6,,76,,74,,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2015,42,3,,2,,8,,90,,118,,145,,149,,219,,6400,,6658,,,-,2,,5,,81,,47,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MICHIGAN,2015,42,3,,8,,18,,335,,396,,189,,193,,278,,8271,,7639,,,-,2,,7,,86,,73,,"MICHIGAN
(44.66399, -84.711206)",
WASHINGTON,2015,42,10,,7,,63,,347,,344,,116,,110,,152,,4496,,4840,,,-,0,,2,,3,,6,,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2015,42,,-,2,,8,,101,,102,,28,,30,,52,,1268,,1171,,,-,0,,3,,25,,21,,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2015,42,,-,0,,3,,22,,22,,,-,2,,8,,101,,91,,,-,0,,1,,1,,6,,"WYOMING
(43.23558, -108.110518)",
